V_rest,V_peak,dVdt_max,Amplitude,DPA,APD80,APD50,APD30
-93.823265,27.536308,516.83484,121.35957,99.17,8.88,24.11,25.69
-93.35062,30.553293,515.1859,123.90391,99.17,7.58,23.32,24.76
-94.26442,27.26349,516.6855,121.52791,99.17,8.23,22.55,24.02
-89.53128,26.021185,514.85724,115.55247,99.17,5.5600000000000005,17.17,18.39
-89.4901,28.8089,519.0723,118.298996,99.17,7.4,23.04,24.47
-99.578705,23.139605,511.81946,122.71831,99.17,7.1000000000000005,16.63,17.88
-82.24275,25.385794,520.5484,107.62855,99.06,4.99,17.73,18.94
-86.84185,24.754673,517.5245,111.59653,95.29,5.38,17.84,19.07
-93.90081,26.862823,516.1928,120.76363,99.16,7.3100000000000005,20.07,21.48
-85.02747,31.02429,521.8087,116.051765,99.15,5.61,23.150000000000002,24.580000000000002
-88.993355,31.126747,519.8454,120.1201,99.16,6.79,25.68,27.34
-92.23635,25.87038,517.5444,118.106735,99.17,7.5,20.55,22.01
-81.7416,32.114754,524.6759,113.85635,99.17,5.97,25.490000000000002,26.740000000000002
-90.6359,32.496338,519.5845,123.13224,99.16,7.46,26.13,27.57
-95.09222,29.563921,517.70325,124.656136,99.17,9.5,27.85,29.76
-94.7186,30.12083,516.8079,124.83943,99.17,8.36,25.150000000000002,26.84
-78.57115,29.913963,527.1114,108.485115,66.93,5.01,21.46,22.650000000000002
-90.114334,27.344095,517.9476,117.45843,99.17,8.4,24.19,25.62
-86.1448,25.249783,519.04425,111.39458,99.16,6.0200000000000005,19.02,20.330000000000002
-92.679665,30.554512,518.6484,123.23418,99.11,7.49,25.85,27.47
-83.47094,31.372162,523.8714,114.8431,99.17,6.46,26.17,27.61
-87.380104,26.170876,516.0987,113.55098,99.17,5.89,17.77,19.01
-84.64333,32.34236,523.4319,116.985695,99.16,6.6000000000000005,26.2,27.82
-100.11035,27.21273,512.9749,127.32308,99.17,7.55,20.04,21.38
-90.753136,24.412285,515.48846,115.16542,99.17,6.5,18.35,19.76
-86.6225,31.05562,520.16327,117.678116,99.17,7.23,24.41,25.810000000000002
-86.81677,24.073923,514.3458,110.89069,99.09,3.94,13.56,14.58
-95.23539,29.044043,514.8276,124.279434,99.17,7.28,21.78,23.26
-99.05292,25.659986,513.7058,124.712906,99.17,8.51,20.79,22.43
-97.95256,23.882711,514.4421,121.83527,99.17,8.76,20.55,22.06
-89.58863,28.68768,516.2569,118.276306,99.15,5.42,19.72,21.07
-93.73224,28.996376,517.79083,122.728615,99.16,8.02,23.57,25.17
-88.03917,29.74409,519.5087,117.78326,99.17,7.29,25.05,26.63
-79.04134,26.622768,521.2688,105.66411,99.17,4.16,16.42,17.54
-76.26348,30.53669,529.84265,106.80017,99.17,5.24,22.34,23.59
-91.20551,26.138935,515.05835,117.34445,99.17,6.73,19.75,21.080000000000002
-98.2005,22.148283,513.83075,120.348785,99.17,7.28,17.69,19.18
-84.250854,26.024971,520.1852,110.275826,99.16,6.38,19.59,20.93
-94.24346,22.928497,514.3063,117.17196,99.17,6.640000000000001,17.26,18.72
-88.26579,30.230993,519.3356,118.49679,99.17,7.94,25.79,27.45
-90.3638,25.205133,517.3345,115.56893,99.17,7.21,20.29,21.72
-97.088806,22.474815,511.72888,119.56362,99.17,6.82,15.72,16.97
-96.40728,29.173954,516.42535,125.58124,99.17,9.53,26.240000000000002,27.97
-95.36744,28.016634,514.9069,123.38407,99.17,6.7,19.84,21.21
-76.12324,31.510029,532.237,107.63327,98.82000000000001,4.32,22.830000000000002,23.990000000000002
-83.55967,30.151756,522.92596,113.711426,99.17,5.8,22.44,23.81
-80.18218,27.398146,520.95636,107.58033,99.17,4.24,17.06,18.17
-94.37132,24.337675,515.5443,118.709,99.15,6.73,17.95,19.240000000000002
-90.976234,29.428097,516.5047,120.40433,99.17,5.4,19.45,20.72
-86.1444,25.040266,516.69037,111.18467,92.46000000000001,4.49,16.17,17.34
-98.030304,29.792606,516.9081,127.82291,99.17,8.040000000000001,25.150000000000002,26.72
-91.015656,22.830618,513.02856,113.846275,99.17,5.11,14.27,15.49
-95.79241,25.723465,515.192,121.51588,99.17,8.48,21.12,22.67
-92.759514,30.410542,518.3872,123.17006,99.17,8.88,26.2,27.76
-79.89432,30.349985,524.87134,110.2443,64.26,4.48,19.98,21.05
-93.51062,27.348616,517.737,120.85924,99.16,7.59,23.51,25.07
-80.32945,32.227642,527.47473,112.5571,99.17,5.5600000000000005,25.75,27.12
-85.44733,28.808386,519.8874,114.255714,98.95,5.71,20.900000000000002,22.150000000000002
-88.6074,31.72511,518.7317,120.332504,99.16,5.87,22.66,23.89
-83.888466,26.330568,520.27704,110.21903,99.16,5.5200000000000005,19.26,20.63
-83.122154,31.268269,524.0816,114.39043,99.17,6.17,25.150000000000002,26.7
-80.23188,32.02831,527.2076,112.26019,62.97,5.08,23.17,24.42
-93.08616,27.9387,514.0774,121.02486,99.17,5.59,18.48,19.67
-85.81863,25.887924,517.5611,111.70655,99.17,6.43,18.14,19.31
-91.328636,30.998852,515.70624,122.327484,99.17,6.2700000000000005,22.64,24.01
-85.48277,26.897514,519.87286,112.38029,99.17,6.73,21.0,22.22
-82.17036,32.236122,525.1994,114.40648,99.17,7.41,27.68,29.21
-90.95712,27.644367,514.55444,118.60149,99.17,6.75,19.8,21.240000000000002
-93.10375,29.096218,516.186,122.19997,99.17,8.28,23.37,24.8
-93.00836,23.554455,513.369,116.56282,99.17,5.58,15.780000000000001,17.07
-90.64078,27.20651,517.6505,117.84729,99.17,7.41,21.75,23.16
-89.225266,30.222816,518.96423,119.44808,99.17,7.53,24.5,25.990000000000002
-79.44366,29.626495,524.399,109.07015,76.49,4.7,19.98,21.07
-88.93526,27.547852,517.6487,116.48311,95.92,5.8500000000000005,19.79,21.21
-84.69189,28.41882,520.7615,113.1107,99.17,7.25,23.150000000000002,24.54
-96.53366,25.58203,516.32996,122.11569,99.17,8.88,23.44,25.29
-93.11761,30.657486,515.8171,123.77509,99.16,6.95,22.900000000000002,24.37
-94.27688,26.148932,516.9052,120.42581,99.17,8.66,23.01,24.580000000000002
-94.98915,26.57838,516.3643,121.567535,99.17,9.35,23.990000000000002,25.62
-96.879,29.426441,516.3881,126.305435,99.17,9.790000000000001,26.990000000000002,28.69
-85.396164,25.352903,517.4394,110.74907,99.16,4.99,16.36,17.45
-98.10706,29.358654,513.92004,127.46571,99.17,7.95,21.73,23.16
-91.95,31.059013,519.1214,123.00901,99.16,6.82,25.21,26.73
-81.90535,29.929289,520.91345,111.83464,99.03,3.87,18.09,19.18
-95.66377,26.009752,515.58954,121.67352,99.16,7.18,19.580000000000002,21.080000000000002
-87.9013,31.09564,519.7788,118.99694,87.06,5.36,22.05,23.240000000000002
-86.92036,29.61864,520.48334,116.539,99.17,7.45,23.35,24.72
-88.47071,32.895405,521.08014,121.36612,99.17,8.1,27.84,29.45
-92.75578,31.242214,518.66266,123.998,99.15,7.79,26.17,27.830000000000002
-85.47656,30.621832,520.83887,116.0984,99.15,5.5600000000000005,21.830000000000002,22.98
-94.2487,28.810194,514.7469,123.0589,99.17,6.38,21.36,22.79
-81.02796,30.444296,523.88226,111.47226,99.17,6.72,23.54,24.830000000000002
-89.02969,25.732843,518.41986,114.762535,99.10000000000001,6.37,19.87,21.17
-97.098145,30.088589,515.35266,127.18674,99.17,6.92,22.45,23.94
-84.29345,30.391615,522.32117,114.68507,99.17,6.17,23.94,25.35
-94.68223,26.126797,513.87885,120.80902,99.17,6.140000000000001,18.36,19.78
-86.75576,32.321156,521.6593,119.07692,99.17,8.27,28.34,29.92
-85.38122,26.908768,516.17755,112.289986,99.16,4.68,16.94,18.080000000000002
-94.43961,23.724442,516.54834,118.164055,99.14,7.2,18.95,20.37
-80.36155,29.135145,523.1729,109.4967,99.17,5.53,20.87,22.05
-81.18978,31.59104,525.4614,112.78082,69.32000000000001,4.82,22.150000000000002,23.37
-93.5393,27.402441,516.78125,120.94174,99.17,8.09,22.8,24.240000000000002
-91.24794,29.652954,517.5954,120.900894,99.17,6.34,21.87,23.32
-96.77346,26.323385,516.06085,123.09685,99.17,7.92,21.13,22.73
-85.97322,27.202394,516.7253,113.17561,99.17,5.09,17.52,18.73
-75.99227,30.338917,529.5513,106.33119,66.35,3.94,19.19,20.21
-98.9818,30.259968,513.2982,129.24176,99.17,8.34,23.05,24.57
-90.103455,29.741945,518.229,119.8454,99.17,6.5200000000000005,22.2,23.55
-88.06962,26.661512,517.12317,114.73113,99.17,7.13,20.56,21.93
-87.79011,28.360226,519.36554,116.15033,99.17,7.07,22.78,24.26
-83.75127,27.160032,520.5115,110.9113,73.31,5.19,18.72,19.92
-81.29013,27.909433,519.90985,109.19956,99.17,4.58,18.490000000000002,19.580000000000002
-83.614,27.46663,520.57965,111.08063,72.87,4.76,19.11,20.34
-89.64201,31.370636,520.7718,121.01265,93.99,6.5200000000000005,26.84,28.45
-80.32927,31.309008,522.9676,111.638275,99.15,3.47,19.01,20.06
-90.215485,26.969826,515.98376,117.18531,99.17,6.68,19.61,20.91
-87.71175,30.680471,520.1399,118.39222,99.16,5.84,23.27,24.71
-87.694016,28.26691,517.32434,115.96092,99.17,5.3,19.81,21.16
-92.9954,30.342846,515.206,123.33824,99.17,6.21,22.01,23.400000000000002
-88.2317,25.802223,515.9532,114.03392,99.16,4.9,16.22,17.45
-99.51915,27.533617,514.9332,127.052765,99.17,9.22,23.76,25.45
-90.38896,24.718811,518.22614,115.10777,99.17,6.83,20.04,21.56
