V_rest,V_peak,dVdt_max,Amplitude,DPA,APD80,APD50,APD30
-73.99546,28.644684,529.54456,102.640144,99.10000000000001,3.0,15.700000000000001,16.6
-73.1373,26.608622,521.42365,99.74592,99.10000000000001,1.72,9.51,10.200000000000001
-84.4996,26.266388,510.66638,110.76599,99.16,2.65,11.81,12.67
-76.52387,25.300888,519.9702,101.82476,99.11,2.58,11.77,12.6
-77.08775,25.753267,519.7489,102.84102,99.17,2.64,12.19,13.030000000000001
-76.58342,26.948977,522.2357,103.532394,99.15,2.81,13.55,14.42
-74.975464,29.541498,530.26294,104.51696,99.17,3.59,17.97,18.95
-74.338715,27.655912,521.00775,101.99463,99.11,1.8,10.57,11.28
-76.37181,26.472431,519.9624,102.84424,99.13,2.33,11.77,12.57
-80.814995,25.632683,520.7992,106.44768,99.15,4.8100000000000005,16.73,17.82
-76.51315,23.820757,511.94498,100.33391,99.17,1.71,7.6000000000000005,8.26
-69.76245,25.75424,529.6321,95.51669,99.01,1.8800000000000001,9.83,10.53
-72.06644,24.573973,515.8619,96.64041,99.11,1.3800000000000001,6.41,7.0
-76.50683,26.378101,513.6484,102.88493,99.15,1.67,8.9,9.57
-79.2309,29.05428,523.6906,108.28519,99.14,4.12,18.14,19.18
-85.668205,25.78352,513.2823,111.45172,99.17,3.62,13.700000000000001,14.69
-71.40276,25.77727,528.512,97.18003,98.91,2.31,11.53,12.31
-77.38137,27.41293,520.717,104.7943,99.16,2.64,13.33,14.19
-72.11093,26.44164,530.51855,98.552574,98.94,3.0500000000000003,14.23,15.1
-72.70999,28.223679,526.6501,100.93367,99.17,1.9100000000000001,11.66,12.4
-82.41638,26.615604,519.6823,109.03198,99.16,4.82,17.2,18.31
-75.10327,28.219433,523.7326,103.32271,99.10000000000001,2.2600000000000002,12.9,13.71
-82.450584,28.981783,521.5095,111.432365,99.16,5.09,19.7,20.85
-76.767654,26.767344,521.82697,103.534996,99.17,2.82,13.44,14.31
-83.94068,27.875687,520.34094,111.81637,99.17,5.65,19.72,20.93
-76.02317,29.059753,527.58057,105.082924,99.13,3.56,17.29,18.26
-87.413666,27.931227,515.6886,115.344894,99.16,4.86,17.47,18.61
-73.94531,25.350584,521.55133,99.2959,99.11,2.08,10.27,11.01
-72.28532,23.099983,515.4735,95.3853,99.14,1.46,6.21,6.8100000000000005
-71.62256,29.32906,534.9838,100.951614,98.99,2.61,15.370000000000001,16.22
-83.23652,29.124563,521.66315,112.361084,99.17,5.6000000000000005,20.84,22.06
-77.31601,29.273626,525.34937,106.58964,99.12,3.47,17.07,18.04
-80.049835,22.70153,508.76633,102.751366,99.17,1.95,7.8,8.5
-78.8143,24.808628,515.7529,103.622925,99.15,2.46,10.9,11.71
-82.69313,26.234413,512.3252,108.92754,99.15,2.57,11.77,12.61
-82.10139,26.341522,515.18787,108.44291,99.15,3.0300000000000002,13.120000000000001,14.030000000000001
-81.141464,27.439667,518.5699,108.58113,99.17,3.5300000000000002,15.19,16.16
-70.97525,26.690302,532.065,97.66555,98.95,2.63,13.27,14.09
-74.172264,23.418535,513.80585,97.5908,99.16,1.57,6.8500000000000005,7.48
-74.5173,27.708925,521.4488,102.22623,99.13,1.87,10.96,11.69
-74.63728,27.762146,522.4249,102.39943,99.14,2.0100000000000002,11.6,12.35
-80.460754,23.785011,515.4621,104.245766,99.16,2.94,11.51,12.39
-71.16389,29.040213,536.5798,100.2041,99.11,2.93,16.14,17.02
-70.61493,22.62884,516.32654,93.24377,99.12,1.34,5.42,5.98
-84.27472,24.432102,511.79297,108.70682,99.16,2.98,11.59,12.49
-77.09913,26.09306,519.64825,103.192184,99.12,2.56,12.18,13.02
-85.5994,25.485086,517.7663,111.08449,99.17,5.54,17.44,18.64
-71.94608,29.069845,535.115,101.01593,98.64,3.1,16.580000000000002,17.48
-84.29822,28.816988,521.0925,113.115204,99.17,6.01,21.26,22.53
-70.733604,28.108244,535.7934,98.84185,98.26,2.88,15.200000000000001,16.06
-84.299484,26.449287,515.9263,110.74877,99.16,4.0,15.1,16.13
-77.26067,27.665972,522.3058,104.92664,99.15,2.95,14.4,15.290000000000001
-81.93249,27.899937,522.0157,109.83243,99.15,5.45,19.66,20.84
-83.40665,25.924036,519.2443,109.33068,99.17,5.25,17.47,18.62
-73.74114,28.407303,529.7823,102.148445,99.04,3.0100000000000002,15.56,16.46
-76.387024,21.652422,507.70065,98.039444,99.16,1.54,5.7700000000000005,6.37
-82.94993,26.555191,517.8237,109.50512,99.15,4.2,15.790000000000001,16.84
-85.8293,24.73675,515.4334,110.56605,99.17,4.58,15.030000000000001,16.12
-77.86663,27.511133,524.78265,105.37776,99.11,4.38,17.62,18.67
-75.18241,24.80536,521.54333,99.98777,99.09,2.56,11.48,12.3
-72.02435,28.008097,527.71234,100.03245,99.09,1.8800000000000001,11.370000000000001,12.1
-77.86863,27.264954,523.3488,105.13358,99.16,3.79,16.07,17.06
-76.05683,25.925434,520.85254,101.98227,99.13,2.5,11.97,12.790000000000001
-83.054054,26.547398,515.3596,109.601456,99.17,3.35,13.91,14.86
-88.67747,24.65339,505.09033,113.33086,99.3,2.77,10.38,11.21
-82.79037,24.613869,510.7524,107.404236,99.17,2.47,10.44,11.26
-74.34122,29.769339,532.1926,104.11056,99.13,3.74,18.650000000000002,19.63
-86.5532,28.288383,519.36664,114.84158,99.16,6.34,21.080000000000002,22.38
-80.03871,25.511707,516.44836,105.550415,99.16,2.84,12.33,13.200000000000001
-71.87942,30.043148,536.63257,101.92256,99.03,2.93,17.03,17.92
-71.22515,29.591175,537.50635,100.81633,98.83,2.94,16.68,17.56
-87.5336,27.755365,516.3242,115.28896,99.16,5.23,18.09,19.27
-85.22393,25.619057,514.4348,110.84299,99.17,3.88,14.21,15.22
-76.549644,28.58283,524.9966,105.13248,99.16,3.13,15.72,16.64
-72.937675,26.537113,529.2255,99.47479,98.83,3.14,14.450000000000001,15.33
-76.29199,26.004723,524.7003,102.296715,99.15,3.85,15.48,16.45
-81.55958,26.01107,513.9296,107.57065,99.16,2.64,11.93,12.790000000000001
-84.65923,27.580578,518.0367,112.23981,99.16,4.8500000000000005,17.650000000000002,18.78
-85.88674,25.596823,515.0139,111.48357,99.16,4.33,15.030000000000001,16.09
-73.74735,25.040651,516.7875,98.788,99.16,1.61,7.92,8.57
-76.35984,27.008429,522.97186,103.36827,99.10000000000001,2.9,13.870000000000001,14.75
-76.502754,27.9858,525.09235,104.488556,99.12,3.37,15.82,16.76
-73.36079,25.821415,522.95483,99.182205,99.07000000000001,2.05,10.46,11.200000000000001
-85.804756,25.623896,511.97577,111.42865,99.17,3.3000000000000003,12.870000000000001,13.82
-80.90229,27.32109,522.16095,108.22338,99.15,5.09,18.57,19.7
-75.367424,25.636805,515.25397,101.00423,99.12,1.69,8.58,9.25
-71.24405,28.74126,533.5706,99.985306,99.16,2.29,13.73,14.530000000000001
-84.90912,23.1238,508.78793,108.03292,99.17,2.62,9.870000000000001,10.700000000000001
-72.71178,27.116472,520.0853,99.82825,99.13,1.51,8.66,9.3
-78.19517,28.59266,524.53595,106.78783,99.16,4.01,17.64,18.66
-77.66836,29.31716,525.60895,106.98552,99.14,3.8000000000000003,17.88,18.88
-81.534706,24.264153,516.4561,105.79886,99.17,3.5,13.02,13.97
-70.893974,28.472656,536.473,99.36663,97.67,3.04,15.97,16.85
-71.196045,26.510426,527.40546,97.70647,99.09,1.8800000000000001,10.33,11.040000000000001
