V_rest,V_peak,dVdt_max,Amplitude,DPA,APD80,APD50,APD30
-87.03496,17.063513,514.2771,104.09847,99.17,5.69,13.38,14.72
-75.419624,29.645588,521.7486,105.065216,99.17,1.92,12.83,13.64
-83.98821,24.958393,508.49582,108.94661,99.17,3.0500000000000003,10.950000000000001,11.76
-82.96222,17.772938,508.43546,100.73515,99.17,3.16,8.41,9.200000000000001
-84.122696,24.084755,507.84293,108.20745,99.17,2.77,10.71,11.55
-73.76777,30.708319,534.7225,104.47609,87.99,3.0300000000000002,17.37,18.5
-72.830284,28.393127,528.2271,101.22341,46.88,1.6600000000000001,10.82,11.51
-86.84908,26.650238,508.74796,113.49932,87.51,2.14,11.5,12.41
-72.7669,32.82793,538.3067,105.59483,99.14,2.21,17.46,18.490000000000002
-74.6234,27.584446,525.5814,102.20784,99.16,3.13,15.85,16.64
-86.94828,32.4832,520.7365,119.43148,99.17,5.94,24.47,25.810000000000002
-77.22202,32.864616,521.35974,110.08664,99.17,1.94,14.99,15.81
-76.8226,19.034113,510.9686,95.85671,89.09,1.68,5.96,6.72
-77.61817,29.523302,526.5028,107.14147,62.800000000000004,2.43,16.89,17.900000000000002
-75.34735,27.660746,520.1917,103.008095,99.17,1.6400000000000001,10.790000000000001,11.55
-79.40452,28.088474,518.3198,107.493,49.160000000000004,2.09,13.24,13.99
-84.689125,31.298286,520.53894,115.98741,99.17,7.2,22.78,24.04
-74.835846,28.179281,526.7139,103.01513,92.93,3.81,15.860000000000001,16.63
-79.49087,27.496988,520.5455,106.987854,99.16,3.8200000000000003,17.09,18.01
-79.04268,28.468859,523.4928,107.511536,44.4,3.14,14.72,15.73
-72.03749,26.930077,524.4835,98.96757,53.74,1.54,9.31,9.96
-70.83375,24.968615,528.1568,95.80236,99.17,3.56,13.27,13.99
-82.11587,17.284187,509.96295,99.400055,99.17,2.69,8.2,9.18
-77.60075,31.539179,531.3047,109.13993,47.75,3.44,20.81,22.11
-77.29064,18.254715,519.1968,95.54536,62.86,2.85,9.790000000000001,10.75
-84.90893,29.257967,517.1199,114.16689,92.73,3.59,17.06,18.1
-85.12976,30.74251,520.8604,115.87227,99.17,7.46,25.01,26.37
-83.40973,21.553738,516.3343,104.96347,93.61,3.7,12.59,13.63
-76.030754,23.610176,519.65784,99.64093,77.33,2.22,10.03,10.76
-85.46269,26.825508,518.691,112.2882,99.17,6.5600000000000005,19.34,20.87
-82.79734,19.928944,518.2147,102.72629,71.49,3.93,12.63,13.81
-81.34405,33.08303,519.1793,114.42708,99.17,4.7700000000000005,19.68,20.6
-75.762245,18.600468,517.5036,94.36272,62.79,2.3000000000000003,7.930000000000001,8.620000000000001
-81.90761,25.8709,508.02057,107.7785,99.17,2.35,10.32,11.14
-78.37268,30.958027,528.74536,109.3307,99.17,4.79,21.97,23.34
-87.90144,24.099659,515.7479,112.0011,52.69,4.07,14.31,15.65
-74.12473,25.371107,525.6517,99.49584,99.17,3.29,13.46,14.47
-68.834755,28.497053,540.7758,97.33181,49.51,2.47,14.14,14.9
-83.152695,27.485504,518.92505,110.6382,99.17,5.67,19.89,21.23
-73.197624,18.230492,516.62476,91.428116,87.81,1.84,6.22,6.91
-87.816475,31.489426,518.2878,119.3059,99.17,5.8100000000000005,21.11,22.47
