Model,Training Samples,Inference Time (100k samples) (s),MARE,MSE,R2,MARE_QoI_0,MSE_QoI_0,MARE_QoI_1,MSE_QoI_1,MARE_QoI_2,MSE_QoI_2,MARE_QoI_3,MSE_QoI_3,MARE_QoI_4,MSE_QoI_4,MARE_QoI_5,MSE_QoI_5,Training Time (s),Memory (gpu),Training Iterations,id
PCE_2,100,97.87257709503174,0.0031753636999684743,2.7159835655934982e-05,0.9999622145967395,0.0004645211673786358,3.177481519602155e-07,0.003062035273496787,1.539873170831944e-05,0.0015118312085731767,4.0161543390762e-06,0.004288078074189528,3.6182644210477396e-05,0.00445368019596656,4.078532852092489e-05,0.005272036280206158,6.625840700485177e-05,0.11371207237243652,0.0,-1,0
PCE_3,100,101.6344792842865,0.001661529517136244,9.991366060615219e-06,0.9999867196590685,5.633893038558364e-05,5.094809623869495e-09,0.0007623058857663249,1.2094410070975185e-06,0.000977609630995048,1.7498844579793306e-06,0.0023742925142906236,1.2900697668052402e-05,0.0025834912534883907,1.5845512766880624e-05,0.0032151388878914923,2.8237565654057568e-05,0.12244677543640137,0.0,-1,1
PCE_5,100,113.50530009269714,0.0019060927251485235,1.9610159868175678e-05,0.9999543171896992,3.620846888352931e-05,4.299477918501883e-09,0.00011975744826749937,6.056361354588696e-08,0.0007401651349577661,1.2861291667811359e-06,0.0030777698787156247,2.898823680502396e-05,0.0033862892613489306,3.530806459119941e-05,0.004076366158717791,5.201366555458518e-05,0.14791178703308105,0.0,-1,2
gp_L,100,0.3609307289123535,0.013974350424139243,0.0005215721417759593,0.9991290480087048,0.002979586387620832,1.2477095971562065e-05,0.008597451961664646,0.0001238503316155387,0.0028804213925443787,1.3858871281248789e-05,0.021790171895528853,0.0008501277893265518,0.023125189650984812,0.0010150074537350472,0.024473281256491945,0.0011141113087258072,11.780189037322998,17.9619140625,241,3
gp_M,100,0.16620497703552245,0.015281900934861793,0.0006932536417432874,0.9987542998611564,0.0031904951195850816,1.4455230240686423e-05,0.009023455329905599,0.00013499089092312394,0.00291712679483926,1.4311622872408764e-05,0.02460379742040423,0.0010771995953868083,0.026376768234422462,0.0017237467552467215,0.025579762710014137,0.0011948177557899757,7.314501523971558,17.478515625,273,4
gp_S,100,0.1040116310119629,0.017332445179197513,0.0008464462035192594,0.9987255560382852,0.004101789948954792,2.3489538578235458e-05,0.011631642224003124,0.0002149319635463095,0.0035523904815173324,1.96551460272786e-05,0.02432088992419196,0.0015566863946519386,0.02797867444645946,0.00139299077976802,0.03240928405005841,0.0018709233985437742,5.437727451324463,20.16162109375,269,5
NN_S,100,0.005587625503540039,0.0036757661711947975,4.171013700136283e-05,0.9999406708505235,0.0003995921832250964,3.4776284780316124e-07,0.0035579588238637216,2.861628844060443e-05,0.0014703589821226807,4.226211620269783e-06,0.005353985543739128,6.589786833293733e-05,0.00529582889997201,6.25213623482861e-05,0.005976872594246149,8.865132841827619e-05,0.473191499710083,17.2578125,975,6
NN_M,100,0.005070161819458008,0.0019139531094317316,1.334140262692822e-05,0.9999867169582425,0.00020075479167231918,8.821309048195098e-08,0.0020293687170645255,9.731309865362834e-06,0.0011387862053916327,2.6447462334888674e-06,0.0022119794554650903,1.2317509409895428e-05,0.0025482831670001916,1.6583310956500143e-05,0.0033545463199966294,3.86833262058401e-05,1.5239405632019043,17.27734375,3466,7
NN_L,100,0.005891323089599609,0.0013639949280285918,1.3658133964852278e-05,0.9999875413901541,0.0002210215655320285,1.3306589202540637e-07,0.0004116877236616023,6.31286474188118e-07,0.0006261712289743884,8.970145985870605e-07,0.0020136186058480705,1.744535057755384e-05,0.002236629816581501,2.2929934637868598e-05,0.002674840627573961,3.9912151608890644e-05,0.9792454242706299,17.45703125,1707,8
PCE_2,500,97.97751760482788,0.003078603785373292,2.5887739863097523e-05,0.9999657021878136,0.00043852956061240746,2.7459894218853726e-07,0.0030760409983459007,1.4780980272575428e-05,0.0014683388094795021,3.495330617596497e-06,0.0041102077607417355,3.5324749258644294e-05,0.004279212337117758,3.962673984520557e-05,0.005099293245942447,6.182404024237479e-05,0.5268900394439697,0.0,-1,9
