Model,Training Samples,Inference Time (s),MARE,MSE,R2,MARE_QoI_0,MSE_QoI_0,MARE_QoI_1,MSE_QoI_1,MARE_QoI_2,MSE_QoI_2,MARE_QoI_3,MSE_QoI_3,MARE_QoI_4,MSE_QoI_4,MARE_QoI_5,MSE_QoI_5,Training Time (s),Memory (gpu),Training Iterations,id
PCE_2,1000,1.4998639583587647,0.003085287498162352,2.5572590190601948e-05,0.9999661945641788,0.00043571168193127043,2.6677816575459087e-07,0.003077930965187142,1.5222477457552977e-05,0.0014762258256174232,3.4403136803847406e-06,0.004096868022488545,3.398324501204758e-05,0.004274615686930635,3.8355347505664104e-05,0.005150372806819098,6.216737932220771e-05,0.9946606159210205,0.0,-1,0
PCE_3,1000,1.6251494884490967,0.0015810794440031413,8.240355108741e-06,0.999989190095146,5.3687253323784044e-05,4.306294004567814e-09,0.0007696859086196479,1.008446473102119e-06,0.0008536611588909426,1.376732141846357e-06,0.0022621680631746436,1.0830787344571054e-05,0.002460945034507403,1.3277822896239128e-05,0.003086329245502427,2.2944035502682773e-05,1.067025899887085,0.0,-1,1
PCE_2,100,1.5847025871276856,0.0031968272155530712,2.9735704150388028e-05,0.9999619171304742,0.0004661728835721629,3.1529583614594394e-07,0.003108087246448709,1.627668594242481e-05,0.00155232282405502,4.040950113427076e-06,0.004277433613453487,3.822376485688468e-05,0.004448105169853696,4.390827753028797e-05,0.005328841555935352,7.564925062315768e-05,0.11371207237243652,0.0,-1,2
PCE_3,100,1.6435506343841553,0.0017062839435062563,1.1747470736631075e-05,0.9999863683790051,5.576625625096226e-05,4.881707117402555e-09,0.0007728159758575252,1.2182762764509031e-06,0.0009730881864717897,1.711655587487429e-06,0.0024367503042877245,1.4841751036804076e-05,0.0026587876928038374,1.849124069333575e-05,0.0033404952453656976,3.4217019118590894e-05,0.12244677543640137,0.0,-1,3
PCE_5,100,1.810563611984253,0.0019383519092512316,1.8984610170080785e-05,0.9999607453800253,3.5999920379700275e-05,3.77061406056728e-09,0.0001134409861723754,4.6651809119033496e-08,0.0007557282011102951,1.3292833480667003e-06,0.003121340108504495,2.7433463239898958e-05,0.0034461771737201714,3.4094927510307926e-05,0.004157425065620353,5.099956449903152e-05,0.14791178703308105,0.0,-1,4
gp_L,100,0.258543586730957,0.013840183773742855,0.0005037166243503615,0.999157325789427,0.0029567212821517497,1.2220982915807153e-05,0.008655748827494885,0.0001285660165280285,0.002899782882348518,1.3946754593857851e-05,0.021520777422986453,0.0008197058711105609,0.022869647223154807,0.0009788308533388236,0.024138425004320726,0.0010690292676150913,11.780189037322998,17.9619140625,241,5
gp_M,100,0.01952638626098633,0.015205145746665608,0.0006728530983108074,0.9987984815902589,0.003181455353227046,1.4207971545669842e-05,0.009086525787822819,0.00014004357337756113,0.002936647076154365,1.4400231183608916e-05,0.024323435041705414,0.0010340777794969815,0.026461742129908396,0.0016870531621942717,0.025241069091175596,0.0011473358720667513,7.314501523971558,17.478515625,273,6
gp_S,100,0.012265634536743165,0.017224437254955993,0.0008266515670699318,0.9987583808783587,0.004097648278710909,2.319943485366963e-05,0.011732582068154158,0.0002227193624713534,0.0035698675181088262,1.9715733530070327e-05,0.024386991061699146,0.0015532138143195603,0.027566238053067297,0.0013441769475812508,0.031993296549995616,0.0017968841096636873,5.437727451324463,20.16162109375,269,7
NN_S,100,0.0008873939514160156,0.0036533600291396937,4.15828240432549e-05,0.9999427470769765,0.0003949314861601423,3.4160301094677584e-07,0.003634184180268246,3.0454826533845215e-05,0.0015143511347466873,4.288710658554532e-06,0.005276416145455767,6.392086538059991e-05,0.005210328205757368,6.127185195935158e-05,0.005889949022449953,8.921908671623134e-05,0.473191499710083,17.2578125,975,8
NN_M,100,0.00035991668701171873,0.00196121948513802,1.5411659144396378e-05,0.9999861462787052,0.00019833438290876683,8.437033427581092e-08,0.0020957000424790748,1.0739895221095633e-05,0.0011666543852363596,2.6794343811682006e-06,0.0022592721941872254,1.396652284470484e-05,0.0025846099153869757,1.8521468202393726e-05,0.0034627459906297177,4.647826388274005e-05,1.5239405632019043,17.27734375,3466,9
NN_L,100,0.000444793701171875,0.0014249090492899424,1.67695759059726e-05,0.9999865428862125,0.0002146345320310517,1.1583420137208215e-07,0.00042867772807403685,7.033137928805879e-07,0.000624897397380084,8.810591083968709e-07,0.0020785309679441175,2.040496534404239e-05,0.002334351667694335,2.7545909205120312e-05,0.0028683620026160304,5.096637378402336e-05,0.9792454242706299,17.45703125,1707,10
PCE_2,500,1.5975775241851806,0.0030769992062898675,2.7289465570760705e-05,0.9999658673877974,0.0004345612846358718,2.6940853386901107e-07,0.0031070924081631327,1.5290358682580962e-05,0.00147899751815544,3.478390428513223e-06,0.004074781028445672,3.614226522630696e-05,0.00425098430879464,4.112974520450005e-05,0.0051155786895444475,6.7426625348794e-05,0.5268900394439697,0.0,-1,11
PCE_3,500,1.7476985454559326,0.0015967635512295275,9.587941330577607e-06,0.9999887694519533,5.378530864547635e-05,4.424001067799955e-09,0.0007814376202382794,1.0219550081369478e-06,0.0008642415309158348,1.3761666311630047e-06,0.0022840457380050106,1.2505546264104905e-05,0.002486187076638673,1.5470438085067035e-05,0.0031108840329338912,2.7149117993925957e-05,0.5541589260101318,0.0,-1,12
PCE_5,500,1.9779874324798583,0.0010914232754092913,4.600534945320382e-06,0.9999926675768497,1.4831692243696368e-05,4.524376040316357e-10,6.381007420310201e-05,1.080117877022953e-08,0.00045913912911070965,4.138005640316834e-07,0.0017508947101983732,6.658923770457581e-06,0.0019279066470774943,8.197362654910401e-06,0.002331957399622373,1.2321869066148367e-05,0.636681079864502,0.0,-1,13
