Model,Training Samples,Inference Time (s),MARE,MSE,R2,MARE_QoI_0,MSE_QoI_0,MARE_QoI_1,MSE_QoI_1,MARE_QoI_2,MSE_QoI_2,MARE_QoI_3,MSE_QoI_3,MARE_QoI_4,MSE_QoI_4,MARE_QoI_5,MSE_QoI_5,Training Time (s),Memory (gpu),Training Iterations,id
PCE_2,1000,5.767204141616821,0.0013734742547153568,4.087651424479976e-06,0.9999896703685919,0.0002984438701205367,1.4367216530437563e-07,0.0008598803488634491,1.5717877135165162e-06,0.0008841860978197252,1.546066622429091e-06,0.0019442772428297863,6.243682385280782e-06,0.002030507282948832,6.846660257154651e-06,0.002223550685709813,8.17403940319444e-06,4.964564800262451,0.0,-1,0
NN_S,100,0.016454315185546874,0.002832077171794314,1.579166037622206e-05,0.9999627635151307,0.0021968391646366675,7.96501053697738e-06,0.00275264686258105,1.380509275868636e-05,0.0010207421497442767,2.0754124939146736e-06,0.003797123094720675,2.5387467752595083e-05,0.0037310370555332243,2.46410393146084e-05,0.0034940747035499898,2.0875939400550464e-05,1.111234426498413,17.259765625,2661,1
NN_M,100,0.0012991905212402343,0.0029284225772770486,2.0509626098430072e-05,0.9999517240017587,0.0015184445605645593,4.0077219530679076e-06,0.002048959315834612,8.075582003172593e-06,0.0007563526317580966,1.0588107786720108e-06,0.0043636240959467444,3.559999444260037e-05,0.004231740114731185,3.405808931192804e-05,0.004651414744827094,4.02575581011395e-05,0.8530666828155518,17.28125,1865,2
NN_L,100,0.0010718345642089845,0.0024205121238614694,1.2280093471809876e-05,0.9999699743665681,0.001560873967167604,4.7996465538336875e-06,0.0020062391990634354,7.834220591087953e-06,0.0006121213366561661,6.866955434513643e-07,0.0032388372275754785,1.736436865959867e-05,0.0034225904944095616,1.994470094576495e-05,0.003682410518296571,2.3050928537122626e-05,0.9512312412261963,17.46484375,1608,3
gp_L,100,0.2693322658538818,0.007974165102067771,0.00012225389681562955,0.9996682991428424,0.003457096339436435,1.893014053362285e-05,0.005660654760222866,5.391307572796773e-05,0.002950637390457445,1.5468592343368147e-05,0.011857831606024357,0.00021321892355644122,0.011979358902680676,0.0002163287890630821,0.011939411613584847,0.0002156638596692952,15.706747055053711,17.98583984375,321,4
gp_M,100,0.020131492614746095,0.0080496323551923,0.00012428249062199908,0.9996639052758629,0.0034966694578679423,1.93636102776436e-05,0.0057505108143456685,5.562049607439243e-05,0.0030037562120421696,1.5954032657885897e-05,0.01181274731149954,0.0002116962430707452,0.012153428258835771,0.0002224131217925296,0.012080682076562708,0.00022064743985879788,10.739491939544678,17.48193359375,394,5
gp_S,100,0.012907838821411133,0.008333686438773136,0.00013393573732600305,0.9996340006634626,0.0035934714454514895,2.0448634074618082e-05,0.005883056530306788,5.812582156952818e-05,0.002974839776776058,1.5672344835815916e-05,0.01248108904802516,0.0002356441939259634,0.01256372799276834,0.00023748920836711034,0.01250593383931098,0.00023623422118298256,7.389615297317505,20.171875,357,6
PCE_2,100,6.441919231414795,0.004214140571775107,3.806987109183978e-05,0.9999031107094434,0.0010650590637528573,2.082815543827133e-06,0.003493675341376753,2.192649282343952e-05,0.0024058088835491242,1.009210392588028e-05,0.006117607079935316,6.47136694213672e-05,0.0059795191855895255,6.198652098615392e-05,0.006223173876447066,6.76176238503706e-05,0.4798908233642578,0.0,-1,7
PCE_3,100,9.320808124542236,0.005025792053480636,4.9451954100732005e-05,0.9998711748615665,0.003241270011359359,1.8288896951455368e-05,0.00446940669866383,4.05853083733793e-05,0.0018725345965159854,6.893506195467049e-06,0.006743721913210555,7.459419972540756e-05,0.006856759454473413,7.701058631701852e-05,0.006971059646660672,7.933922704166423e-05,0.8664534091949463,0.0,-1,8
PCE_5,100,52.80341734886169,0.005692642848512537,6.347384918811529e-05,0.999830647869624,0.0036210520976700045,2.2764124380135258e-05,0.005023198257915899,4.979470321972023e-05,0.0019423131745986814,7.585679132673631e-06,0.0077304562246609965,9.720855079262247e-05,0.00787501026439394,0.00010071166479614106,0.007963827071835699,0.00010277837280739899,43.41772794723511,0.0,-1,9
