Model,Training Samples,Inference Time (s),MARE,MSE,R2,MARE_QoI_0,MSE_QoI_0,MARE_QoI_1,MSE_QoI_1,MARE_QoI_2,MSE_QoI_2,MARE_QoI_3,MSE_QoI_3,MARE_QoI_4,MSE_QoI_4,MARE_QoI_5,MSE_QoI_5,Training Time (s),Memory (gpu),Training Iterations,id
NN_S,100,0.007631540298461914,0.005343399292069874,0.00031883114638658037,0.9999980558631729,0.013968510876534368,0.0007390543329674668,0.0010431401710097972,2.0248242658578177e-06,0.014383111325865198,0.001163594884454728,0.0020316424848762183,7.743805643073997e-06,0.0004956900745024486,5.319716542479555e-07,0.00013830081963121205,3.705933410754889e-08,1.0812244415283203,17.2578125,2803,0
NN_M,100,0.0005012035369873046,0.0032209152505149386,0.0001341085297958708,0.9999994165331647,0.0064739033550882666,0.00018142925633693002,0.0007165923237105607,1.2334122865943846e-06,0.010843987819170186,0.0006201482945997738,0.0008982577179285135,1.5963092124835769e-06,0.00030765640669717264,2.3011565848131236e-07,8.50938804949299e-05,1.3790680961821039e-08,0.9031951427459717,17.27734375,2122,1
NN_L,100,0.0005676746368408203,0.000832602893328234,5.091146313037339e-06,0.9999997877362734,0.0013798142083953472,5.217908171440247e-06,0.00020710641694215228,1.0053303548066485e-07,0.002724074586703734,2.4695589016330095e-05,0.0004428348632802999,4.281348405973412e-07,0.0001982812164070703,1.0031190866035893e-07,4.3506068240799824e-05,4.400905715324464e-09,0.9145464897155762,17.45703125,1683,2
gp_L,100,0.1774651050567627,0.01925361704600055,0.002706557455709035,0.9999504847311627,0.07167367406771855,0.01434250079760398,0.003238988388001709,1.6897782356383085e-05,0.0293240058198072,0.001780746808018862,0.006376489150252647,6.972907555005403e-05,0.004121819771670359,2.8340663727670555e-05,0.0007867250785528417,1.1296069972598956e-06,14.252754211425781,17.96533203125,294,3
gp_M,100,0.01953883171081543,0.019727746796481514,0.002801926764590185,0.9999453509934391,0.07226223572579776,0.014764276023917325,0.003280672949094862,1.73054179357168e-05,0.031225691271047167,0.0019265877906972538,0.006391433651938353,7.0035261068056e-05,0.0044168123290808225,3.222580010438959e-05,0.0007896348519301056,1.130293818369867e-06,8.187038660049438,17.47900390625,309,4
gp_S,100,0.012236976623535156,0.02296480079851824,0.00342019031399702,0.9999197193097786,0.08104947365987084,0.01746256659267374,0.004258349282202843,2.850250994675158e-05,0.03783532588063164,0.0028671839304619242,0.00827354837160172,0.00011480076542955589,0.005345816274129608,4.626259135062666e-05,0.0010262913226727864,1.8254941195233923e-06,6.865200042724609,20.1630859375,337,5
PCE_2,100,1.8797821044921874,0.004750189588289709,0.00020258382906411098,0.9999977629920787,0.009320748937420388,0.0002898772659814148,0.0008139038936296199,1.2016717146409921e-06,0.015944404376328613,0.0009192673145071224,0.0014694549419481894,3.912569320151299e-06,0.0007998593276600892,1.2006375822637616e-06,0.0001527660527513554,4.351527907263401e-08,0.14058351516723633,0.0,-1,6
PCE_3,100,1.9976250648498535,0.0009884416097167817,7.749267985915402e-06,0.9999997451619053,0.000795645774784593,1.8857877656985125e-06,0.00015201293233687332,4.766794488511727e-08,0.004016176837682691,4.33614954712025e-05,0.0007673910747346454,1.1426341482201988e-06,0.0001590903833188943,5.4950850273055767e-08,4.033265544299357e-05,3.0717352130351113e-09,0.1548302173614502,0.0,-1,7
PCE_5,100,2.486991357803345,0.0005073336129365366,5.581656887747754e-06,0.9999999465903021,9.545909550048248e-05,2.8320280029922694e-08,4.9170510580553096e-05,5.583644510700388e-09,0.002505127581642819,3.31236603074795e-05,0.000351488800695184,3.294753329375787e-07,3.0340461881996416e-05,2.4779087413739085e-09,1.2415227318184831e-05,4.2385278745631757e-10,0.21767544746398926,0.0,-1,8
PCE_2,200,1.9968497276306152,0.004790916031960717,0.00016325571620161408,0.999997784461056,0.009252801413230156,0.00021191975885146458,0.0008029437076183161,1.084522851589111e-06,0.016217651555664323,0.0007613935807265475,0.0014646159423171608,3.7862715366680872e-06,0.0008481906128570141,1.3033377134993644e-06,0.00015929296007733144,4.68255299158565e-08,0.5504250526428223,0.0,-1,9
PCE_3,200,2.1817679405212402,0.0009076888527813895,5.92535276265485e-06,0.9999997616108919,0.0006381583871989021,8.523380991012665e-07,0.00014035879617194452,3.572190593914041e-08,0.0037652167769141984,3.35088474277055e-05,0.0007142272331449716,1.1037780251603621e-06,0.00015153869168829353,4.855112579221051e-08,3.663323157002592e-05,2.8799922306168202e-09,0.2935206890106201,0.0,-1,10
PCE_5,200,2.7482821941375732,0.00015837172679113246,3.541302190335846e-07,0.9999999854185015,1.83751776325359e-05,1.1219022267695338e-09,2.3244281387069403e-05,1.7262116451579619e-09,0.0007304040548833608,2.025529973815422e-06,0.00016396761588059744,9.605813146955908e-08,8.366138802318449e-06,2.285075547800247e-10,5.8730921609128585e-06,1.1658748981920724e-10,0.43026304244995117,0.0,-1,11
gp_L,200,0.02847142219543457,0.014598762012852486,0.001198682832655137,0.9999701661490076,0.048593492935862216,0.005560307456638509,0.002436169916512649,9.741991049147758e-06,0.027658293659314666,0.0015673608744318267,0.004628177860014501,3.4781225887239155e-05,0.0035057133524150417,1.8902628270966017e-05,0.0007707243529958466,1.0028196531331089e-06,43.81373620033264,22.78271484375,347,12
gp_M,200,0.019477653503417968,0.014426103534252676,0.001171761018425304,0.9999708743965179,0.0476979930933488,0.005366236204032679,0.002438355428455368,9.771428368320225e-06,0.027733756429245436,0.001601241776615185,0.004581061038195594,3.418113883491389e-05,0.0034570320052312374,1.842445409357468e-05,0.000648423211039611,7.111086071519189e-07,8.941935777664185,28.419921875,302,13
gp_S,200,0.012415933609008788,0.022041873680731888,0.002882901420757898,0.9999347535708637,0.07828677423594461,0.014591961250816582,0.004146399191164648,2.688496309256573e-05,0.03584935995782987,0.002540127169807098,0.007893877720143914,9.789886048245652e-05,0.005091817709858596,3.894012683870057e-05,0.0009830132694496987,1.596153509987469e-06,6.019593715667725,38.69140625,269,14
NN_S,200,0.000598001480102539,0.005195013790497573,0.00035080300235586616,0.9999977063179253,0.011126482749690584,0.0003335691544239795,0.0006502160980111603,8.279520932193604e-07,0.017148100053165343,0.0017630349935448795,0.0014015891904299608,6.365136506082388e-06,0.0007141229980651442,9.83477099187172e-07,0.0001295716536232465,3.7300467848936405e-08,1.0058472156524658,17.2578125,1954,15
NN_M,200,0.00046281814575195314,0.0011782182391046,1.244799879743604e-05,0.9999996276379135,0.0015966775954750698,5.558850803413591e-06,0.00030407810306790095,2.0538039891211485e-07,0.004225619631526746,6.704367435930798e-05,0.0007386313994704754,1.8181646192477551e-06,0.0001657202720581605,5.8777552447314613e-08,3.85824330292479e-05,3.145051287489392e-09,2.557661771774292,17.27734375,5713,16
NN_L,200,0.0005396842956542969,0.000716580008871381,3.1266445727174676e-06,0.9999998083198415,0.0012144857313282995,3.700840543546456e-06,0.0001687240970774435,5.4468194733708135e-08,0.002260845831095441,1.413586685601439e-05,0.00048020787350758345,8.260624592583866e-07,0.000143745224320836,4.063929386179657e-08,3.147129589868209e-05,1.9900888900687e-09,1.1898069381713867,17.45703125,2058,17
PCE_2,500,2.046633720397949,0.004746557474665113,0.00016045643876558513,0.9999979568527426,0.008956770976190173,0.00021066114684219187,0.000774352920846829,1.0251278539820357e-06,0.016431878094978595,0.0007463039873928743,0.0013561422333603628,3.5676976842777173e-06,0.000812158596112387,1.1407932047110478e-06,0.00014804202650233104,3.9879615473845216e-08,0.6709325313568115,0.0,-1,18
PCE_3,500,2.1774988174438477,0.0008758997165518046,4.90280706191675e-06,0.9999998229513336,0.0006481046673593761,1.060151631392778e-06,0.00012459221650343665,3.0094857806976405e-08,0.003616512634274469,2.7452500019179206e-05,0.0006984690195775423,8.379529111373598e-07,0.00013468655958231177,3.403154826698642e-08,3.303320201369194e-05,2.111403717193371e-09,0.6984331607818604,0.0,-1,19
PCE_5,500,2.7503733158111574,0.00014436495855755016,2.19347802450441e-07,0.9999999960043187,1.0943996326722535e-05,3.567522183522086e-10,1.4797912130990415e-05,4.959102322881549e-10,0.0007214728894459158,1.290153404181467e-06,0.00010926644410272997,2.4964929412147193e-08,5.973594273063846e-06,8.53278148764725e-11,3.734915065878189e-06,3.049084351486671e-11,0.8996753692626953,0.0,-1,20
PCE_2,1000,2.060054969787598,0.004715733465314014,0.00015265405110274338,0.9999979858559928,0.00878319049142538,0.0001943775047189372,0.0007738901532797846,1.0007380335503726e-06,0.016387620337753837,0.0007157275743614339,0.0014187719100119064,3.671823002338899e-06,0.000786139969950854,1.1075104517493011e-06,0.00014478792946232395,3.915604845056299e-08,1.552638053894043,0.0,-1,21
PCE_3,1000,2.181447410583496,0.0008535416675836426,4.457454325266613e-06,0.9999998331485428,0.0006321651517637324,9.354433434823846e-07,0.00012514634961314507,2.8632084713788618e-08,0.0035206555531626647,2.4955480034323798e-05,0.000684263188800562,7.915598035157366e-07,0.00012644018668508584,3.157384656260779e-08,3.257957547666524e-05,2.0368390013633048e-09,1.4403479099273682,0.0,-1,22
PCE_5,1000,2.7634048461914062,0.00012032214626694303,1.9417808878487056e-07,0.9999999968144141,1.0112978166200373e-05,2.8482595417221483e-10,1.2726893822677266e-05,3.571576265262983e-10,0.0005919699307607954,1.1448393241752862e-06,9.866080681972128e-05,1.9507319755833313e-08,4.997632313377005e-06,5.5640479770796563e-11,3.4646357188868244e-06,2.426471763446909e-11,1.8128259181976318,0.0,-1,23
gp_L,500,0.028724145889282227,0.008075776237738782,0.00039643074445630533,0.9999897152290795,0.027190552899585878,0.0018169226353138687,0.0015117594890844926,4.072219053560441e-06,0.014941996572870982,0.0005388458042960105,0.0025370988661093876,1.2105844946348313e-05,0.0018782539491467383,6.274450046749439e-06,0.00039499564963520753,3.635130812951274e-07,18.07102346420288,62.3564453125,267,24
gp_M,500,0.021001195907592772,0.007422489869697178,0.0003485204753945578,0.9999912837945859,0.02490655272459693,0.0016032258308379948,0.0016475881682528268,4.938891247853583e-06,0.013753884463177468,0.0004673774944720394,0.002265062520558812,1.0113259220340684e-05,0.0016973908946690053,5.298855622217819e-06,0.0002644604469280272,1.6852096690055102e-07,6.461754560470581,137.4453125,211,25
gp_S,500,0.012086439132690429,0.01757117775328576,0.001866742838334001,0.999947626832014,0.061136306639517156,0.00918527070916424,0.0031758998921028853,1.5714761181220867e-05,0.030497183061739194,0.0019198620751233661,0.005178159443794258,4.4024058264949876e-05,0.004636095057551238,3.4448515090736556e-05,0.0008034224250098248,1.1369111794944088e-06,6.777646541595459,189.46875,285,26
NN_S,500,0.0006129741668701172,0.004535018855101716,0.00021379657689726256,0.9999985843649637,0.011428324889717862,0.0004658435581295313,0.0008396701086098911,1.4204284415342948e-06,0.013065816422483096,0.000810210481801809,0.001319474130762442,4.823982465436963e-06,0.000437652077494866,4.5037211392179553e-07,0.00011917550154214492,3.063843134220141e-08,1.051598072052002,17.2578125,2683,27
NN_M,500,0.00045418739318847656,0.001324504564630566,1.0824337596299101e-05,0.9999997080186683,0.0038295090204839653,3.628440868855913e-05,0.0003500407281091289,2.60419190045832e-07,0.0030062000335199647,2.737293492682272e-05,0.0005142363186284161,9.265572802916927e-07,0.00020285882612838008,9.735786398708076e-08,4.4182460913542553e-05,4.347628088153013e-09,3.4891395568847656,17.27734375,8047,28
NN_L,500,0.0005257606506347656,0.000581431097638593,2.4002539498858396e-06,0.9999998536774485,0.0012545323419456732,5.844821745571666e-06,0.00012629778995447606,3.3941756967520104e-08,0.001561309913651482,7.902940256147601e-06,0.0004108744338366477,5.828162122498378e-07,0.00011672871180648157,3.595112099337909e-08,1.884339463679757e-05,1.0526073850375598e-09,1.4755325317382812,17.45703125,2691,29
gp_L,1000,0.029416322708129883,0.004807845964278103,0.00012647796870831658,0.9999957175690918,0.015257030500219145,0.00046249382083173794,0.0008317866947356318,1.4555893927707364e-06,0.010006573334544357,0.0002876479091712667,0.0014657569193944257,4.570318522291895e-06,0.0011119705399816986,2.615139850436961e-06,0.0001739577967933613,8.503448139535908e-08,196.63913369178772,82.24951171875,241,30
gp_M,1000,0.019630908966064453,0.0053290245238637405,0.0001787286813377803,0.99999475079959,0.016734084390977226,0.0007135843786410859,0.0009523490679292096,1.8405676375552966e-06,0.011079322035626539,0.00034805152922107434,0.001660695251678117,5.5625705215974445e-06,0.001341811571005118,3.2177266896437013e-06,0.00020588482596623495,1.1531531572496981e-07,55.9147310256958,138.77099609375,332,31
gp_S,1000,0.012245273590087891,0.012207905927038147,0.0008306400252585767,0.9999830667716764,0.04201280332955829,0.003831691299187435,0.002125422101220952,7.257171154264014e-06,0.022280712077096,0.0011071232472437686,0.003949882266156203,2.7903362570419875e-05,0.0024171866352854098,9.473389643210943e-06,0.00046142915291202773,3.916817523615548e-07,34.79219913482666,245.765625,227,32
NN_S,1000,0.0005942344665527344,0.004551617353364074,0.0002476748242509438,0.9999987738803925,0.011083951353002953,0.00040718584551057725,0.0005899156962068332,7.369197411521679e-07,0.013990034815120914,0.0010729606317568838,0.0011807623944141295,4.828938106727758e-06,0.0003843105059306369,3.215083615108099e-07,8.072935550897941e-05,1.5102028810833768e-08,1.9186222553253174,17.2578125,3850,33
NN_M,1000,0.0004536628723144531,0.0007787337574657568,3.3009272432218136e-06,0.9999998536188476,0.0013774048974652324,5.116957264960691e-06,0.00021372997586418318,9.832395158847832e-08,0.0024520425217939364,1.4007863844494919e-05,0.0004728646541723714,5.3736088399557e-07,0.0001288540765134018,4.3398087265568474e-08,2.7506418985415133e-05,1.6594270256571561e-09,2.6229045391082764,17.27734375,5368,34
NN_L,1000,0.0005318164825439453,0.0003977640424417028,9.75718998197459e-07,0.9999999050146908,0.000650064962631707,1.6445214521971583e-06,0.00014248705942550912,4.1787927005400275e-08,0.001171385700682052,3.9225679911988266e-06,0.0002581463063784152,1.987380825843358e-07,0.000136621680872642,4.474432210471639e-08,2.7878544659891458e-05,1.9542140943163035e-09,1.3504581451416016,17.45703125,2174,35
