Model,Training Samples,Inference Time (s),MARE,MSE,R2,MARE_QoI_0,MSE_QoI_0,MARE_QoI_1,MSE_QoI_1,MARE_QoI_2,MSE_QoI_2,MARE_QoI_3,MSE_QoI_3,MARE_QoI_4,MSE_QoI_4,MARE_QoI_5,MSE_QoI_5,Training Time (s),Memory (gpu),Training Iterations,id
PCE_2,100,3.7068933486938476,0.006693189188626617,0.00025297190212426754,0.9999941943101881,0.00657995238535004,9.217171478079753e-05,0.0029802132211941158,1.6772041226531054e-05,0.025613078066453285,0.0013842814548017646,0.003545939650260583,2.203340502905829e-05,0.0011346657468054972,2.3905970727786376e-06,0.0003052860616961816,1.8219983467510597e-07,0.2869274616241455,0.0,-1,0
PCE_3,100,4.714799785614014,0.005885586514157928,0.00015299161014122026,0.9999918039395783,0.0080952785905762,0.0001264409745242419,0.0025397266702846576,1.2610352310597079e-05,0.018694652996271596,0.000735488682378362,0.004552029345644037,4.083123770873317e-05,0.0011102527072813294,2.376521453760021e-06,0.00032157877488974866,2.0189247162725726e-07,0.3799006938934326,0.0,-1,1
PCE_5,100,12.69536395072937,0.006398954409777025,0.00017729171550470732,0.9999893237685267,0.009220507195344459,0.0001621602494470959,0.0025195326420423157,1.21969479496248e-05,0.01973387317673235,0.0008318831154986842,0.005353731539730654,5.4321553420581406e-05,0.0012157836051600575,2.9449289980073454e-06,0.00035029829965231373,2.434977142501049e-07,2.3831748962402344,0.0,-1,2
gp_L,100,0.2677520751953125,0.01910441992214569,0.001181874004632336,0.9998816854368381,0.03426347844668941,0.0021591466510828086,0.010007661925425584,0.00016329475340145795,0.047539767620970334,0.004196277062455477,0.016988909810143046,0.0005306757701056276,0.004598663090048227,3.904835689907875e-05,0.0012280386395975486,2.8014338495658013e-06,13.826528549194336,17.9755859375,291,3
gp_M,100,0.019670867919921876,0.019073878430983317,0.0011829269245307932,0.9998804382151866,0.03473376466627582,0.002268849971971315,0.009935705439621398,0.0001607614947603928,0.046972168372280826,0.004101960393516763,0.01684619360147297,0.0005221008741836437,0.004708842106495597,4.0993811037283555e-05,0.0012465963997532793,2.895001715359557e-06,7.441502094268799,17.48046875,280,4
gp_S,100,0.012296104431152343,0.021576680182969335,0.001505883869231073,0.9998344061822737,0.03928020783208554,0.002887144968854073,0.009861048751098642,0.0001605102506657746,0.053433249097398154,0.005201855996645315,0.019959904042736936,0.0007257731311839636,0.005574207819592448,5.666448958447574e-05,0.0013514635549042935,3.354378452835019e-06,8.170419216156006,20.16748046875,405,5
NN_S,100,0.001198720932006836,0.0068926306915272,0.00022267314261787836,0.9999933424571478,0.013700594198774119,0.0003437101034447043,0.0024816100369605587,1.128213180828431e-05,0.019850731637959328,0.000954286184945463,0.003718800796062576,2.3620949136436954e-05,0.0012438854123599128,2.8994924560693903e-06,0.00036016206704671055,2.399939163121442e-07,1.0549845695495605,17.2578125,2655,6
NN_M,100,0.0005507469177246094,0.004169184048892023,7.075737254249303e-05,0.9999967693134818,0.005185982259097432,5.258769174272002e-05,0.002224224209678345,9.474591549915486e-06,0.013668953570262113,0.00034366163658041744,0.003110710492232559,1.7991512188023156e-05,0.0006275428388245105,7.469548935437908e-07,0.0001976909232571752,8.184830033838882e-08,0.8550474643707275,17.279296875,2042,7
NN_L,100,0.0005535602569580079,0.0023637817647920245,2.109817611740201e-05,0.99999876363636,0.0036817791933627503,2.465262521384395e-05,0.0010561809630965683,2.167841856690852e-06,0.0070162607185844505,9.345453826838434e-05,0.0018043212484440436,5.8827010701836176e-06,0.0004775097106646775,3.922282589955353e-07,0.0001466387545996536,3.912203631378249e-08,0.8553924560546875,17.4609375,1587,8
PCE_2,200,4.098297023773194,0.005014648585297741,0.00016118156206347322,0.9999963235482671,0.0056648892125518635,5.892156783059353e-05,0.001962050768743489,6.90017139287836e-06,0.018657237122945314,0.0008872597572023843,0.0025883472542876412,1.2188703686921988e-05,0.0009507281357209365,1.6826164726828945e-06,0.00026463901753719625,1.3655579537843436e-07,0.5865335464477539,0.0,-1,9
PCE_3,200,4.998506259918213,0.004094381559154629,0.0001034235111114354,0.9999958678461885,0.0012869547135044672,3.877702309252603e-06,0.0025991094755962903,1.2349481573352933e-05,0.016361626617971484,0.0005831184225645368,0.0032300448757987227,1.9753545307474162e-05,0.0008467038023657004,1.3304818228509337e-06,0.0002418498696911101,1.114330911450094e-07,0.7669739723205566,0.0,-1,10
PCE_5,200,12.685669040679931,0.002860526733081358,4.836340618843632e-05,0.9999982743689984,0.00181872430215337,6.429654648379456e-06,0.0014845906360692754,4.189148838956007e-06,0.011180098058106167,0.0002718057108001644,0.0019649678335747546,7.06402849078058e-06,0.0005631472683507826,6.450022501905501e-07,0.00015163230023379902,4.68921021468999e-08,3.555589437484741,0.0,-1,11
gp_L,200,0.031236982345581053,0.015436906282949886,0.0007935187169219009,0.9999397890668553,0.029398986934533685,0.0015644630350753475,0.007693452644562072,9.562756376765133e-05,0.0384139519594802,0.0027957453667319166,0.013047306030412164,0.0002856249691344842,0.003175551608133667,1.818370093056385e-05,0.0008921885205775252,1.4676658914420923e-06,13.222276449203491,22.80322265625,244,12
gp_M,200,0.021373224258422852,0.0037248795678367333,6.110528128347067e-05,0.999996956468905,0.0053146493914671585,5.183339582008373e-05,0.001696908285812212,5.426811846758437e-06,0.011952923404431175,0.0002976678625350795,0.002319532965466719,1.022396886282368e-05,0.0008256738347015796,1.361541631707325e-06,0.000239589525141556,1.1810700437131615e-07,79.06014513969421,28.4609375,2711,13
gp_S,200,0.013381338119506836,0.020112232376033816,0.0012586248975398708,0.9998814307600994,0.038875156666216014,0.002662412517501803,0.010290791191833267,0.0001720538725471082,0.04756872690344229,0.004136567366904214,0.018099798243547804,0.0005399785703564897,0.004614226234768843,3.8006858303301074e-05,0.0012246950163946634,2.7301996263080564e-06,7.182353734970093,38.73828125,313,14
NN_S,200,0.0006713390350341797,0.005753478384525531,0.00022893271517501588,0.999994118362535,0.01007589731475851,0.00020420143510029574,0.002187171943186904,9.810102831222415e-06,0.017757814660773967,0.0011411755915637304,0.0028905107223535843,1.5182392096492947e-05,0.001268743289381426,3.0153734906354832e-06,0.0003407323766987898,2.1139596771820478e-07,1.4977521896362305,17.2578125,3807,15
NN_M,200,0.0005573749542236329,0.002534664474337537,2.5917409565209722e-05,0.9999982105264255,0.004320781686585126,3.633822637522518e-05,0.0011701672187259466,2.8915511196854515e-06,0.007404922395821726,0.00011088829130819108,0.0015097837606681528,4.428896282435928e-06,0.0006460400945340772,9.047939521448641e-07,0.00015629168969019482,5.2698353575830755e-08,1.3166894912719727,17.279296875,2891,16
NN_L,200,0.0005969047546386719,0.0014682079981427104,7.352877504249187e-06,0.9999992951274187,0.0022026350327908183,9.072271863696423e-06,0.0008652835470220743,1.542025221774257e-06,0.00410853691781095,3.053856035140171e-05,0.0011883449084895644,2.676954836153368e-06,0.0003547305819481069,2.708845888104567e-07,8.971700079474836e-05,1.6568163658911584e-08,1.2154433727264404,17.4609375,2088,17
PCE_2,500,4.161348533630371,0.004473246794776444,0.00013020364979529655,0.9999969222671692,0.0050982548057651655,4.8790450384885696e-05,0.001856166170686803,6.179238945692155e-06,0.01634319897644809,0.0007137744316667437,0.002487574397864856,1.105526557446033e-05,0.0008198886367505285,1.3110278232817768e-06,0.00023439778114322442,1.114843767156629e-07,1.3163602352142334,0.0,-1,18
PCE_3,500,5.0096182346344,0.0016734847556566781,1.9671383500300362e-05,0.9999990229930609,0.0005267003758144848,5.855954039844907e-07,0.0010865340246959158,2.93527585381161e-06,0.006636727580305461,0.0001099400010199143,0.0013189087142279786,4.197962935080528e-06,0.0003612670896046697,3.380498545800868e-07,0.0001107707492915602,3.141593443115072e-08,1.6280968189239502,0.0,-1,19
