model,mean_rel,std_rel,S1_rel,ST_rel,uq_time_s,sa_time_s
pce_model2_1K.pth,0.00030084261310295496,0.008481674141028343,0.023604447383642802,0.01999463991481226,0.7962396144866943,0.26203441619873047
pce_model3_1K.pth,0.004080003850801082,0.0014672424371873103,0.022615069895688948,0.02324849974163858,0.8268382549285889,0.25786280632019043
pce_model2_0.1K.pth,0.0004300991117090328,0.00782524897192262,0.05847262801356106,0.012496787913849897,0.795417070388794,0.2532777786254883
pce_model3_0.1K.pth,0.0031195792704238616,0.01044829400400979,0.026496065640986118,0.01663740139519108,0.8281230926513672,0.2541623115539551
pce_model5_0.1K.pth,0.0020744475483227363,0.009654923142992418,0.04953802430703935,0.04280365386853582,0.9328799247741699,0.27471423149108887
gp_L_0.1K.pkl,0.00035799095045244237,0.03871414593504902,0.07568166998168167,0.03817406224021035,2.895599603652954,0.01607537269592285
gp_M_0.1K.pkl,0.0046830490545901075,0.03235996580137178,0.07276452358086179,0.045865634481135543,0.014414787292480469,0.01349186897277832
gp_S_0.1K.pkl,0.0017113504844561915,0.05058309048643708,0.0811126748745144,0.04054487661875278,0.009496212005615234,0.010956287384033203
nmodel_S_0.1K.pth,0.0024842462781131283,0.01682280360885181,0.06346063099605771,0.03153916852118021,0.0032520294189453125,0.006942272186279297
nmodel_M_0.1K.pth,0.0004485303010366534,0.008262433465396247,0.05329233316391003,0.029302496116589694,0.0013124942779541016,0.007035732269287109
nmodel_L_0.1K.pth,0.0023285621446868,0.005483341542132825,0.037961619468037416,0.012808863422671613,0.0012385845184326172,0.007038593292236328
pce_model2_0.5K.pth,0.0039378101008847935,0.01192004788845614,0.03558610183619403,0.03255001739666561,0.9060583114624023,0.3617405891418457
pce_model3_0.5K.pth,0.00023750348943507357,0.007729106765584436,0.03268002856434912,0.020861567471401478,0.9450347423553467,0.3670988082885742
pce_model5_0.5K.pth,0.0010360331809706861,0.01514307528802169,0.022888015366418157,0.020842673453606443,1.0428650379180908,0.385814905166626
gp_L_0.5K.pkl,0.0015533499220277156,0.018072477836812418,0.02715609293432264,0.024177800153990864,0.021030902862548828,0.016326427459716797
gp_M_0.5K.pkl,0.0013409342630483713,0.02299878058368629,0.041720940561724686,0.02229009823715191,0.01486659049987793,0.013680458068847656
gp_S_0.5K.pkl,0.002250982077158883,0.017984254717310973,0.04241814974643535,0.017861730336007322,0.01009821891784668,0.011301279067993164
nmodel_S_0.5K.pth,0.0026107832535716626,0.010265755722942548,0.04184557645706182,0.01259245633522573,0.001171112060546875,0.0068721771240234375
nmodel_M_0.5K.pth,0.0009722228220591784,0.003426347977468746,0.021640345507542055,0.030941489488665434,0.0011022090911865234,0.007057666778564453
nmodel_L_0.5K.pth,0.0010919893785104222,0.008536351312810707,0.022707683046064433,0.011656145271075558,0.0011715888977050781,0.007048606872558594
gp_L_1K.pkl,0.0018624671214799483,0.013957734787213329,0.03350414252162602,0.018491594975353853,0.0206301212310791,0.01544046401977539
gp_M_1K.pkl,0.0013221245482789763,0.006901336462292357,0.0406226677495606,0.012921561786509035,0.015743017196655273,0.013783454895019531
gp_S_1K.pkl,0.0007631176774366236,0.011297208974341296,0.026862000972627205,0.010692727048241549,0.010881423950195312,0.011138200759887695
nmodel_S_1K.pth,0.002458077714105058,0.011626123193277228,0.03888164713023776,0.02591317086937756,0.0011806488037109375,0.006878376007080078
nmodel_M_1K.pth,0.0005392237737140122,0.010749703854037167,0.031567138171333976,0.02926651582638009,0.0010941028594970703,0.0068361759185791016
nmodel_L_1K.pth,0.002981015423750201,0.010809671254368955,0.024397898387489486,0.028764656659845744,0.0011589527130126953,0.00687408447265625
pce_model2_0.2K.pth,0.0005673185324997202,0.013627774567714745,0.034895074592221284,0.020180755339023655,0.9417908191680908,0.3822662830352783
pce_model3_0.2K.pth,0.00020740595585840582,0.005571240266070895,0.01585799081715684,0.01793599112352546,0.9679965972900391,0.3890070915222168
pce_model5_0.2K.pth,0.002908022460565035,0.005936753919705375,0.018782984693859146,0.03404646581805032,1.0754024982452393,0.40934324264526367
gp_L_0.2K.pkl,0.0007806250889318432,0.015425499268736249,0.052471590612473945,0.02732429988573064,0.020432233810424805,0.015998125076293945
gp_M_0.2K.pkl,0.0006466321181423929,0.025918425827157365,0.052803017585089665,0.02363054378562957,0.014531850814819336,0.013454675674438477
gp_S_0.2K.pkl,0.0019908491693923897,0.041271506662402195,0.0656575810119312,0.047529890645806164,0.009624719619750977,0.010939598083496094
nmodel_S_0.2K.pth,0.0017374969138015974,0.013199588635949002,0.0353499541473121,0.01890924168156005,0.001171112060546875,0.006785869598388672
nmodel_M_0.2K.pth,0.0005887238772085888,0.008258421453732357,0.04266749318770032,0.035848620985962545,0.0010890960693359375,0.006742238998413086
nmodel_L_0.2K.pth,0.004690358208437486,0.00639969109489884,0.028096919882668773,0.026400653906152163,0.0011548995971679688,0.0068514347076416016
pce_model5_1K.pth,0.0008827778226853231,0.0056584490700765655,0.01566775373761819,0.016611707019732348,1.0648994445800781,0.42979001998901367
