model,mean_rel,std_rel,S1_rel,ST_rel,uq_time_s,sa_time_s
pce_model2_1K.pth,0.0002848914240800205,0.005641551631446103,0.10637066348770374,0.07956628396760568,2.955277919769287,1.2034897804260254
nmodel_S_0.1K.pth,0.00047983815543635954,0.004895923490088963,0.10815974803316529,0.06331503490487092,0.05268502235412598,0.03050518035888672
nmodel_M_0.1K.pth,0.0013680889867147973,0.025281408663874353,0.08499233484459247,0.06100744301071685,0.0031795501708984375,0.02469491958618164
nmodel_L_0.1K.pth,0.0008412638788825831,0.003262473397667831,0.10709977625484178,0.1185729095828368,0.002825021743774414,0.024166107177734375
gp_L_0.1K.pkl,0.0017490061233150103,0.05486601883297627,0.17111286611993926,0.1265533262661246,1.6642522811889648,0.03360104560852051
gp_M_0.1K.pkl,0.0011935941891468539,0.05564417744593015,0.12743918009063507,0.12945962435067276,0.016109466552734375,0.03170609474182129
gp_S_0.1K.pkl,0.0015080331341956771,0.05622355441929385,0.14184835107226484,0.12060988124055468,0.010544300079345703,0.028968095779418945
pce_model2_0.1K.pth,0.0006255045875475472,0.02977900257654527,0.11307014118801197,0.09338102377285243,3.0639774799346924,1.3060534000396729
pce_model3_0.1K.pth,0.0016071219593165088,0.059505937650266814,0.12969149331774604,0.11344442589179272,4.293528079986572,1.7650456428527832
pce_model5_0.1K.pth,0.001026480912661186,0.06585409628160678,0.14217181778955637,0.09790072649237898,25.210118532180786,10.177810907363892
pce_model2_0.5K.pth,0.000626475271241167,0.017293992481377394,0.11374971915101446,0.0388867335564893,3.413802146911621,1.3937482833862305
pce_model3_0.5K.pth,0.0018646788507574819,0.013808972148433787,0.12933188333383594,0.12015021071255014,4.636739730834961,1.9303216934204102
pce_model5_0.5K.pth,0.000488428668446907,0.011520032998350747,0.11606887251913581,0.06828253273455465,26.32711625099182,10.564625024795532
gp_L_0.5K.pkl,0.003084704168324573,0.03227066521685512,0.11088660213704798,0.13048316097762333,0.03482460975646973,0.03375077247619629
gp_M_0.5K.pkl,0.0001328337743229839,0.011190859881698998,0.08262523768345971,0.1020640979056261,0.016661643981933594,0.03202986717224121
gp_S_0.5K.pkl,0.001760185932744231,0.017178278775260087,0.07435949406666811,0.10001012971187584,0.011743545532226562,0.029193401336669922
nmodel_S_0.5K.pth,0.0006455253679882104,0.008211032478843057,0.09962154808041894,0.08380425924342667,0.0027298927307128906,0.024953603744506836
nmodel_M_0.5K.pth,0.0014717615504450173,0.008434030422248847,0.09374862266220324,0.10877113557429491,0.0026924610137939453,0.024410247802734375
nmodel_L_0.5K.pth,0.00015336722785330256,0.017858149559562515,0.11131988193839662,0.08971109771016825,0.0027740001678466797,0.02449178695678711
pce_model5_1K.pth,0.0017093917659134455,0.015180523032773749,0.07748744292505917,0.07816476765815947,24.80461311340332,10.24735403060913
gp_L_1K.pkl,0.0022704755097627677,0.025188574337265898,0.06668129892294203,0.07041420264604174,0.02164745330810547,0.03336739540100098
gp_M_1K.pkl,0.0024388638225048974,0.008769502827907545,0.09879099646808437,0.15283414612945445,0.01691746711730957,0.03144264221191406
gp_S_1K.pkl,0.0012906649049173795,0.017732297603246353,0.11812592127136569,0.08002867222708254,0.011924505233764648,0.028949737548828125
nmodel_S_1K.pth,0.0005302725660868355,0.016724581621102786,0.11757043405996656,0.10376909345962748,0.00267791748046875,0.024654388427734375
nmodel_M_1K.pth,0.001681886625228199,0.01746390045544633,0.12111219993422152,0.07503352847591355,0.0026786327362060547,0.024707555770874023
nmodel_L_1K.pth,0.0017600714578481771,0.01688366726647353,0.1321586033828756,0.09615155536413589,0.002647876739501953,0.024747848510742188
pce_model2_0.2K.pth,0.0013849077729549564,0.013291002160033032,0.1223776039809303,0.07137296081056818,3.072469711303711,1.3378169536590576
pce_model3_0.2K.pth,0.0007619849909136954,0.01412994919302967,0.1357512001720009,0.09527821145936372,4.490157842636108,2.078986883163452
pce_model5_0.2K.pth,0.0007119474280033311,0.018035214012951172,0.11665672637792092,0.11036173942342241,25.41175937652588,10.234419822692871
gp_L_0.2K.pkl,0.0007095693199182794,0.02262462318081032,0.13909729222601683,0.09535100402803394,0.021021604537963867,0.03319382667541504
gp_M_0.2K.pkl,0.000798757187239028,0.02664810022488789,0.13848097108378363,0.12390867473577272,0.015853166580200195,0.03157448768615723
gp_S_0.2K.pkl,0.0008531226570717824,0.01742962706700154,0.11929364278457806,0.1191745717531826,0.011226892471313477,0.0292508602142334
nmodel_S_0.2K.pth,0.00021167217842887325,0.014860567802017633,0.09355466580964501,0.12354385663184345,0.002725362777709961,0.02450084686279297
nmodel_M_0.2K.pth,0.00035960481703075357,0.007367811632907936,0.09144246889699677,0.061098444050411135,0.0025343894958496094,0.024933338165283203
nmodel_L_0.2K.pth,0.0009503929127381763,0.016141560233444232,0.139666990174761,0.08433567279822363,0.0026977062225341797,0.024653196334838867
pce_model3_1K.pth,0.001246639976344042,0.013180167291548764,0.0789535461807536,0.09108126341310281,4.409256219863892,1.9589974880218506
