V_peak,V_rest,dVdt_max,APD90,APD30,TUP
23.688877,2.038501,5022.1465,99,104,0.05
30.217724,7.7071714,5036.9785,161,182,0.05
18.47375,-1.6600864,5009.32,77,78,0.05
34.815346,10.45021,5034.396,185,219,0.05
20.279802,1.2003598,4996.2695,107,110,0.05
29.455421,6.9201264,5030.27,159,178,0.05
24.856731,3.7478144,5055.631,113,121,0.05
28.346434,5.8337855,5000.5967,122,136,0.05
21.50913,0.49827415,5040.0684,84,85,0.05
25.747585,5.326713,5010.926,128,140,0.05
29.77212,8.036728,5043.0835,169,192,0.05
33.707428,8.833144,5061.647,177,204,0.05
32.951836,9.103726,4971.205,179,206,0.05
34.321854,11.105226,5074.0127,188,222,0.05
29.331839,6.1829333,5055.602,133,149,0.05
17.525364,-2.4377239,4975.554,71,72,0.05
33.72983,10.558764,5034.5996,173,202,0.05
33.385513,8.744898,5078.9404,181,208,0.05
19.847198,0.72615385,5027.042,103,104,0.05
26.067894,4.26854,5003.935,137,148,0.05
20.78299,0.6567896,5069.469,101,103,0.05
26.645452,5.894957,5069.311,134,148,0.05
29.960052,6.874087,5026.161,142,160,0.05
32.34456,9.196583,5011.1694,158,184,0.05
21.734398,1.4609344,5035.92,88,90,0.05
32.639416,9.053958,5040.759,179,208,0.05
29.177284,6.549527,4999.159,133,149,0.05
29.656498,6.7259636,5066.264,137,154,0.05
19.071682,-0.63040674,5045.4863,83,84,0.05
27.526625,5.564612,5068.487,146,161,0.05
33.974323,10.2872505,4968.1226,186,216,0.05
25.795572,4.477908,5019.946,129,140,0.05
24.030712,3.7006574,4959.9385,121,129,0.05
27.29079,5.299266,4998.0986,143,157,0.05
27.350964,5.554994,5007.097,138,152,0.05
34.95863,10.549219,5058.381,180,212,0.05
27.695536,5.063422,4990.5273,130,141,0.05
29.556849,6.796627,4974.2583,144,162,0.05
27.106178,5.4487524,5043.4253,153,167,0.05
33.103695,9.446727,5072.717,181,209,0.05
21.642405,2.3008375,5024.2026,106,110,0.05
23.185722,2.6849134,5075.394,118,124,0.05
20.163147,0.84101135,5016.498,94,96,0.05
18.074587,-1.5522937,5035.219,71,72,0.05
19.171385,-0.44226685,5080.6587,81,82,0.05
28.228025,6.1462483,5076.005,134,149,0.05
32.30372,9.39658,5037.6587,189,218,0.05
24.722767,4.035746,4958.8965,121,130,0.05
33.06824,9.167809,5066.159,178,206,0.05
23.57194,3.4236767,5049.1953,121,129,0.05
36.23847,13.43083,5076.6143,207,251,0.05
20.375212,-0.07262131,5032.807,81,82,0.05
29.617851,6.504324,5060.3633,156,174,0.05
29.268099,6.098596,5051.261,147,164,0.05
28.127909,6.6737504,5049.343,148,165,0.05
32.93171,9.518513,5014.4473,178,207,0.05
33.199657,10.035478,5077.159,175,206,0.05
34.764156,11.451918,5015.8755,193,227,0.05
33.477123,9.281513,5083.484,197,228,0.05
28.609917,5.938463,5076.358,127,141,0.05
34.598106,11.107965,5016.7183,173,204,0.05
30.034805,6.76712,5023.8506,158,177,0.05
34.795055,10.340293,5055.0938,176,206,0.05
31.438778,7.330035,5078.147,162,183,0.05
20.543167,0.0067505836,5003.238,89,90,0.05
36.429565,12.797634,5064.348,200,241,0.05
21.450523,2.4508932,4986.535,106,111,0.05
16.352121,-3.6398206,5070.265,66,67,0.05
31.818108,7.7340784,5001.626,172,195,0.05
33.036026,9.446618,5080.921,203,236,0.05
32.456142,9.253598,5050.5093,154,179,0.05
23.123062,2.2829814,5075.0254,104,109,0.05
24.422897,2.3230016,4999.023,100,104,0.05
30.153202,7.145408,4990.82,139,158,0.05
32.04568,7.8954444,5067.2896,164,187,0.05
32.689278,9.842023,5027.8247,182,212,0.05
20.706913,-0.4088914,4968.6064,81,82,0.05
26.895796,5.2130866,5055.4272,141,154,0.05
32.874638,9.431816,5018.2617,164,189,0.05
31.671207,8.764027,5034.901,166,190,0.05
34.510788,10.660052,5061.56,193,227,0.05
27.396732,5.9633245,5009.0737,145,159,0.05
28.0104,5.663217,5018.7603,141,156,0.05
32.241013,8.94781,5013.3057,148,171,0.05
35.00952,11.431279,5075.4526,195,231,0.05
34.71786,11.857628,5052.312,207,246,0.05
27.050749,4.3469367,5035.0254,120,130,0.05
19.737686,0.094366685,5016.68,99,100,0.05
32.383602,9.043674,4962.917,194,223,0.05
25.851631,4.206062,4983.142,115,125,0.05
22.974894,3.5302005,4973.181,113,120,0.05
28.37596,6.7658296,4962.519,156,174,0.05
21.660395,0.7304879,5016.593,92,93,0.05
31.141165,8.029888,5020.485,160,183,0.05
20.125185,1.5689012,5045.6216,110,114,0.05
29.78312,6.3383417,5005.705,156,174,0.05
30.391705,8.100373,5038.3784,163,186,0.05
17.794794,-1.8756622,5067.5303,83,84,0.05
25.09107,3.8925998,4968.3535,103,111,0.05
18.351055,-0.65907335,5015.182,85,86,0.05
31.209438,7.9614034,4985.4673,165,188,0.05
22.532415,1.7584596,4977.8296,99,103,0.05
32.91548,9.775218,5076.613,178,207,0.05
26.48052,5.385168,5071.863,125,137,0.05
27.082481,4.9538846,5081.2334,147,161,0.05
31.860106,8.056063,4981.4014,157,180,0.05
27.430597,5.6565905,4961.997,149,163,0.05
30.398659,7.396572,5013.1753,163,184,0.05
19.418724,-0.4735038,5058.652,80,81,0.05
30.29067,7.833159,5068.683,165,188,0.05
20.772337,0.03938793,5046.3604,87,88,0.05
20.22825,0.54087746,5039.1997,98,99,0.05
30.336147,7.959211,4977.5527,156,177,0.05
29.41607,8.244037,5006.974,168,191,0.05
26.011038,5.2437744,5008.3022,142,156,0.05
21.464622,2.1299546,5016.0557,107,111,0.05
34.115273,10.3999195,5073.3022,185,216,0.05
32.695953,9.649854,5032.3276,168,196,0.05
25.388098,4.0227165,5031.565,131,140,0.05
20.720924,1.0312408,5054.495,115,118,0.05
31.233513,7.621575,4990.441,165,187,0.05
27.721348,5.658657,4968.028,143,157,0.05
29.30976,7.3773055,4964.474,157,178,0.05
32.621887,9.345864,5049.236,158,183,0.05
34.054527,10.151151,4974.2275,181,212,0.05
28.410027,6.0145373,5062.132,157,173,0.05
29.731363,7.4215875,4994.3247,165,185,0.05
20.90098,1.7737508,5072.5356,102,106,0.05
32.814365,8.610385,5033.7354,175,200,0.05
31.872051,8.896672,4987.423,167,192,0.05
19.37624,-0.8913135,5037.5293,84,85,0.05
22.581844,1.9409616,4999.363,109,113,0.05
28.385752,6.1884327,4979.78,133,149,0.05
19.84514,0.5304968,5077.038,112,114,0.05
34.314983,9.683747,5013.8647,173,201,0.05
24.96018,4.2896395,4961.624,113,122,0.05
20.062737,1.2148638,4982.684,102,104,0.05
26.543236,5.1126456,5082.8916,120,132,0.05
17.293541,-2.22623,4998.4316,81,82,0.05
17.809158,-1.2576009,5062.0483,80,81,0.05
23.268255,2.7271545,5034.8145,117,123,0.05
18.744925,-0.45973054,4985.876,92,93,0.05
21.33389,1.367732,5037.307,106,109,0.05
33.231564,9.105628,4997.363,172,198,0.05
31.429579,9.040589,4973.8506,156,180,0.05
34.023117,9.551018,5044.697,193,224,0.05
25.511028,5.2747374,5010.419,121,132,0.05
33.252098,10.014721,5003.0405,177,206,0.05
27.912292,4.958125,5062.462,135,148,0.05
27.87722,5.245737,4986.3984,128,141,0.05
27.849602,6.0166826,4993.8115,155,171,0.05
28.938063,5.994341,4978.7754,144,161,0.05
32.575825,8.829334,5004.613,175,201,0.05
24.421675,4.519473,4963.2627,125,134,0.05
30.034374,7.3580885,4984.394,180,202,0.05
32.23754,10.057227,5043.543,182,212,0.05
