V_peak,V_rest,dVdt_max,APD90,APD30,TUP
28.862692,-4.883869,5027.9224,168,169,0.05
21.32807,2.3300557,5033.918,115,120,0.05
30.699215,10.551709,4998.5557,135,165,0.05
30.641476,6.5808277,4991.399,111,125,0.05
20.701107,0.32844484,5002.2,64,65,0.05
24.927975,3.926582,5054.627,131,141,0.05
30.77417,8.301645,5069.97,211,238,0.05
19.848564,-2.2885516,4998.159,121,122,0.05
22.044538,3.0488966,4910.879,75,81,0.05
25.862534,0.48877916,4973.406,112,113,0.05
26.974154,5.176815,4850.3345,60,68,0.05
23.673595,3.2792826,5091.2324,120,128,0.05
33.45477,15.626508,5057.2593,154,212,0.05
19.163078,0.42354715,5026.9365,98,99,0.05
33.06945,8.774616,4981.8433,197,227,0.05
31.316872,11.252795,4953.666,138,171,0.05
29.94629,0.5547193,5092.548,217,219,0.05
28.186989,10.661194,4952.9873,70,92,0.05
32.481987,14.328108,5019.7314,171,221,0.05
31.062784,2.2267828,5090.153,233,239,0.05
34.455074,8.401007,5085.374,206,228,0.05
30.673513,8.335727,5046.676,143,167,0.05
35.576874,13.160194,5066.6694,196,245,0.05
27.943178,0.74367905,5007.1704,108,110,0.05
29.16182,7.640205,4949.0615,102,119,0.05
31.412754,4.5395403,5034.134,183,195,0.05
27.326427,7.893441,4994.261,151,176,0.05
35.178135,12.749024,5029.567,176,223,0.05
33.253433,8.652197,5008.4424,141,163,0.05
25.620977,4.794267,5040.525,111,122,0.05
23.277603,-3.1429446,4928.0327,76,77,0.05
34.555504,11.766135,5083.031,172,212,0.05
25.914099,4.657393,5044.782,117,128,0.05
21.900845,-0.5135768,5073.5176,113,114,0.05
23.293716,3.2284307,4946.3887,115,122,0.05
30.413744,5.7885575,5039.528,194,212,0.05
27.141218,-16.952908,5047.256,232,233,0.05
27.524725,-1.2945386,5027.543,199,200,0.05
17.26452,-3.9730628,4949.487,44,45,0.05
19.357294,-6.980696,5113.749,149,150,0.05
27.8267,2.6462584,4931.2754,81,86,0.05
30.81656,10.442183,5066.7007,118,147,0.05
20.102518,1.1452807,5072.3457,76,79,0.05
37.930943,16.90225,5062.7305,196,256,0.05
30.548923,10.538809,4997.8843,78,102,0.05
33.433247,10.617807,5079.435,173,207,0.05
26.824844,6.07089,5008.3853,173,189,0.05
25.072067,4.839411,4939.785,123,134,0.05
25.83128,1.5131167,4979.7065,90,93,0.05
30.533407,10.060779,5024.824,167,200,0.05
28.436302,5.4755917,5006.494,132,144,0.05
34.727818,14.018789,5043.949,165,216,0.05
31.26599,7.2237287,5032.825,169,188,0.05
27.313816,8.193315,5021.2666,160,183,0.05
18.470959,-3.551712,5001.6157,81,82,0.05
26.841747,5.8172846,5051.8706,128,142,0.05
32.114437,12.66748,5001.9077,157,202,0.05
21.842024,-4.5918226,5010.597,76,77,0.05
25.319572,6.7550445,4936.417,66,79,0.05
22.948101,1.2243407,4961.8193,78,80,0.05
31.559706,8.914762,4989.5,128,150,0.05
19.678122,-0.35380822,4952.474,75,76,0.05
-31.337797,-68.85375,4967.6934,24,25,0.05
23.896202,-6.957805,5055.4185,151,152,0.05
20.421717,0.7270502,4944.031,54,55,0.05
32.801678,8.352262,5062.779,209,236,0.05
30.230427,9.177242,4990.9087,64,81,0.05
21.81577,0.11753783,5001.988,110,111,0.05
16.43718,-15.91087,4990.53,117,118,0.05
27.023235,1.36735,5036.9453,182,185,0.05
32.597046,10.757202,4888.291,92,116,0.05
33.182644,4.672007,4982.618,180,191,0.05
26.760738,-5.60451,5064.2974,163,164,0.05
28.246714,-2.1583834,5057.852,170,171,0.05
21.868683,-0.5164984,5085.5386,128,129,0.05
30.160782,5.0541267,4945.066,101,111,0.05
30.744598,8.941775,5014.2876,155,181,0.05
18.952744,-1.7949171,4991.9883,67,68,0.05
24.642279,3.6295786,4935.2583,70,77,0.05
25.51877,-11.317441,5019.6953,203,204,0.05
34.44697,13.462462,4893.741,105,138,0.05
32.319023,10.104955,5042.4995,159,194,0.05
24.96208,2.275876,4954.1167,74,78,0.05
33.80051,9.429137,5039.993,205,231,0.05
11.711494,-13.046196,4984.295,79,80,0.05
22.564459,-0.13255513,5042.615,129,130,0.05
30.168612,9.839761,4911.525,107,131,0.05
-38.160538,-57.010983,5000.462,29,30,0.05
31.587858,13.513176,5037.4937,104,142,0.05
34.635307,15.429438,5055.3833,141,191,0.05
33.98636,8.296878,4966.504,152,172,0.05
27.986834,7.2032237,4927.0776,74,89,0.05
33.58963,10.263782,5053.643,197,230,0.05
33.66941,11.701594,5076.3213,177,217,0.05
22.421818,3.1826923,5089.3745,144,153,0.05
23.105434,-0.005470123,5017.2217,121,122,0.05
31.999191,10.362591,5024.2446,114,141,0.05
32.40635,10.13372,5003.1143,163,195,0.05
-30.92925,-58.91546,4966.9624,26,27,0.05
30.893068,11.703894,5067.2285,161,202,0.05
36.20711,13.349849,5028.041,205,250,0.05
28.455982,5.4178023,5077.8203,142,155,0.05
24.326708,3.482023,5059.784,112,120,0.05
28.345179,7.8384833,4974.483,106,125,0.05
23.83311,-6.8477416,5097.0645,206,207,0.05
19.905163,-0.059282474,4916.872,80,81,0.05
27.966602,6.501339,4963.8843,68,80,0.05
28.789108,0.26812086,5105.4946,200,201,0.05
33.90082,7.173021,5054.696,203,222,0.05
30.63539,6.4881883,5031.7646,185,204,0.05
30.358557,8.205342,4906.859,65,80,0.05
32.89012,5.746133,5034.3086,193,208,0.05
30.121695,11.221684,5015.5967,138,173,0.05
31.884882,11.568727,4980.3223,104,135,0.05
16.139404,-4.6559844,4910.0737,50,51,0.05
29.519411,8.418973,5051.592,115,138,0.05
29.165972,5.4296227,5053.6807,148,160,0.05
25.890928,1.2466686,5035.104,138,141,0.05
24.491058,-6.276829,5079.195,201,202,0.05
31.275341,7.5240746,4971.941,137,155,0.05
26.178213,0.12741005,4998.429,186,187,0.05
17.436966,-3.9816165,4996.1074,97,98,0.05
33.48085,8.680706,5071.8955,188,212,0.05
32.78525,7.100336,5052.188,162,177,0.05
13.335614,-23.013565,4987.822,111,112,0.05
36.08854,13.735032,4988.1006,174,216,0.05
28.972532,8.271214,5007.224,142,166,0.05
30.257662,8.209131,4954.4727,163,187,0.05
-25.396145,-42.80587,4908.8105,32,33,0.05
31.942541,12.436743,5027.1885,138,176,0.05
25.060326,5.4395466,4967.4346,78,89,0.05
16.569891,-3.299696,5043.7197,86,87,0.05
31.158848,12.014422,4982.8833,96,127,0.05
34.397583,7.0707726,5041.7373,248,270,0.05
24.964914,0.35912052,5013.8345,126,127,0.05
24.799778,0.9057524,5015.4766,152,154,0.05
30.218975,-1.8274382,5030.0444,166,167,0.05
33.20969,-11.963819,5040.614,313,314,0.05
31.838614,9.1668215,4987.817,137,161,0.05
31.005735,6.561628,4946.627,90,103,0.05
34.723934,10.598183,5085.0493,216,250,0.05
32.517765,7.696196,4885.1465,96,111,0.05
32.68668,12.945132,4938.436,170,213,0.05
23.009579,1.0294428,5032.732,126,129,0.05
28.782413,-8.444081,5062.1597,190,191,0.05
19.29243,-0.06990662,4980.6343,62,63,0.05
34.78473,10.633738,4984.517,208,244,0.05
29.470999,3.3647711,4980.747,141,148,0.05
20.882969,-2.2894228,4988.805,87,88,0.05
26.78483,2.3738074,5025.099,147,153,0.05
22.640955,-1.3974193,5064.9077,130,131,0.05
27.330544,-0.34782973,5099.603,174,175,0.05
13.810215,-9.162106,5071.0605,78,79,0.05
32.151253,11.881018,4990.3843,109,140,0.05
33.960354,8.758471,4966.3213,157,178,0.05
33.360912,10.379779,5050.9272,200,240,0.05
22.59503,5.417529,4983.139,95,108,0.05
26.546223,6.51537,4960.6943,93,108,0.05
27.051838,1.2556108,5054.437,143,146,0.05
22.881851,0.006023445,4851.642,53,54,0.05
29.263908,1.23909,5010.163,117,119,0.05
19.153833,-0.058632698,4977.837,90,91,0.05
20.714312,1.1814084,5024.3267,113,116,0.05
22.797709,0.31994966,4945.5635,75,76,0.05
27.30039,7.177111,5035.611,132,153,0.05
26.810518,6.79635,5047.164,90,106,0.05
35.758392,11.554276,5012.1807,238,280,0.05
32.79314,11.662244,4944.287,126,157,0.05
30.673355,13.9622135,4979.952,114,153,0.05
32.903316,10.944929,5063.196,172,209,0.05
32.36996,3.4127085,5023.745,188,196,0.05
25.881376,3.3064556,5062.24,139,146,0.05
27.476448,2.9296255,5034.8516,180,187,0.05
21.49584,1.2602377,5112.903,96,99,0.05
26.516644,1.8581383,4919.2803,109,112,0.05
34.447033,12.380044,4956.448,164,206,0.05
30.035273,7.327452,5061.8994,160,179,0.05
16.822536,-2.132817,4913.366,76,77,0.05
35.922966,13.166598,5078.2676,236,285,0.05
31.59704,3.6189845,5075.7583,243,253,0.05
34.12405,14.319757,4991.385,148,195,0.05
25.296515,-3.328887,5021.9224,155,156,0.05
29.78881,9.913429,4986.635,150,181,0.05
29.503124,6.7984114,5030.1255,160,180,0.05
25.190855,2.4069252,5068.5264,173,179,0.05
20.687696,1.9397833,5068.935,66,70,0.05
34.33208,10.252994,5052.1987,199,234,0.05
22.658642,4.002292,5026.7793,62,69,0.05
14.659779,-20.621492,5095.8438,137,138,0.05
31.090181,9.952357,5013.984,135,163,0.05
17.608511,-1.5131489,5004.5615,71,72,0.05
31.177002,10.023764,5069.706,169,202,0.05
32.39756,13.410571,5029.998,156,204,0.05
27.687021,-2.9102645,5065.351,221,222,0.05
16.881037,-6.715056,5083.45,114,115,0.05
12.977223,-8.949349,5020.3345,58,59,0.05
27.780947,-4.5815396,5043.277,240,241,0.05
31.178577,2.3320177,5075.9917,204,209,0.05
26.019999,-2.2588131,5020.462,101,102,0.05
24.83293,4.789183,4979.649,149,161,0.05
16.212023,-4.8940444,5072.117,79,80,0.05
29.528755,-2.1652367,5105.1074,216,217,0.05
26.269707,1.3392165,5084.2354,155,158,0.05
34.43204,13.833649,5088.2285,151,202,0.05
32.150433,6.846222,5060.8374,218,239,0.05
31.11256,2.0282717,5051.261,224,230,0.05
26.200731,-1.0865549,5039.673,168,169,0.05
32.2567,7.8322215,5084.2554,167,189,0.05
32.56608,8.228434,5080.783,219,243,0.05
24.071161,-5.602517,4975.1904,105,106,0.05
20.946339,-2.5605378,5065.337,162,163,0.05
36.718098,15.716146,5014.1777,194,252,0.05
34.026615,11.469129,5056.5166,161,195,0.05
18.911997,-1.9457937,4964.8276,84,85,0.05
29.70506,9.428103,5029.9766,137,166,0.05
25.35295,8.268341,4979.709,109,131,0.05
20.22922,-3.999628,4872.7515,66,67,0.05
15.414635,-5.7949934,4980.9995,75,76,0.05
23.143633,-4.187161,5094.7295,199,200,0.05
23.485409,5.0015483,4985.7827,105,117,0.05
27.7393,5.6280847,5013.9307,123,135,0.05
21.43244,1.0933713,4960.7964,53,55,0.05
32.812954,11.217759,5056.759,154,187,0.05
32.84903,7.0346403,5094.716,209,231,0.05
25.49075,-6.4001403,5072.9033,200,201,0.05
19.955786,-9.4758,5053.7524,137,138,0.05
34.991863,14.386031,5020.7153,182,232,0.05
22.730196,-18.077877,5074.691,167,168,0.05
32.947388,11.11996,5020.9414,183,219,0.05
