V_rest,V_peak,dVdt_max,Amplitude,DPA,APD80,APD50,APD30
-80.46552,28.840408,522.5947,109.30593,99.14,4.67,19.12,20.23
-71.400986,24.596983,522.4012,95.99797,99.17,1.77,8.65,9.34
-70.08514,26.007732,528.82074,96.092865,99.07000000000001,1.95,10.44,11.16
-73.11544,25.368982,522.41315,98.48442,99.11,2.08,10.4,11.15
-78.537384,25.680384,508.78568,104.217766,99.15,1.67,8.3,8.97
-77.320526,28.467648,525.4072,105.78818,99.17,4.12,18.02,19.06
-74.17271,29.29271,529.9403,103.465416,99.11,3.25,17.06,18.01
-74.78595,28.91679,526.1229,103.70274,99.13,2.59,14.76,15.620000000000001
-74.44367,26.826056,520.2717,101.26973,99.10000000000001,1.92,10.65,11.39
-84.90036,25.756693,510.9774,110.65705,99.17,2.88,12.13,13.030000000000001
-84.05497,26.571815,513.3382,110.626785,99.17,3.15,13.42,14.35
-71.846794,26.272438,525.1427,98.11923,99.15,1.95,10.52,11.24
-76.83367,25.809557,523.4441,102.64323,99.12,3.93,15.56,16.55
-77.77997,26.442644,516.30115,104.22261,99.17,2.19,11.22,12.01
-78.96695,24.348158,517.2214,103.31511,99.17,2.97,12.120000000000001,13.01
-82.08748,27.594284,520.8511,109.68176,99.15,5.14,18.81,19.98
-87.54583,27.939095,516.74603,115.484924,99.17,5.49,18.87,20.09
-75.73174,26.963644,523.1416,102.69539,99.14,2.84,13.82,14.700000000000001
-78.10546,23.046497,511.70947,101.15196,99.16,1.98,8.34,9.06
-83.618744,26.979284,518.262,110.59803,99.17,4.73,17.2,18.32
-73.61755,25.553455,524.48157,99.171005,99.08,2.62,12.36,13.19
-80.64257,25.32084,518.5095,105.96341,99.16,3.86,14.620000000000001,15.63
-73.888054,22.976923,513.0196,96.864975,99.11,1.55,6.61,7.23
-82.78022,26.470078,518.1407,109.2503,99.15,4.4,16.27,17.35
-83.80495,26.787876,516.5651,110.59282,99.16,4.1,15.700000000000001,16.75
-87.79918,24.907125,509.81552,112.70631,99.16,3.33,12.35,13.3
-87.10525,23.40597,508.0456,110.511215,99.16,2.9,10.58,11.46
-70.49344,26.167707,531.16016,96.66115,98.82000000000001,2.58,12.84,13.65
-84.52861,24.003963,514.2358,108.53258,99.17,3.8200000000000003,13.31,14.33
-77.68457,28.590921,524.54987,106.27549,99.14,3.91,17.580000000000002,18.6
-80.28802,25.105062,511.54175,105.39308,99.17,2.16,9.99,10.76
-84.91813,24.886799,507.12042,109.80493,99.17,2.34,9.99,10.790000000000001
-70.1344,25.498837,527.1113,95.63324,99.01,1.85,9.61,10.31
-86.20395,21.874998,508.72452,108.07895,99.16,2.92,10.0,10.88
-86.62149,27.894726,516.02606,114.51622,99.17,4.78,17.51,18.650000000000002
-81.12119,25.420374,518.89557,106.541565,99.17,4.22,15.4,16.44
-72.23626,26.61079,529.74084,98.847046,98.97,3.09,14.540000000000001,15.43
-76.78233,26.991598,516.67816,103.77393,99.15,1.98,10.83,11.58
-81.245056,27.785805,518.8626,109.03086,99.16,3.73,15.99,16.990000000000002
-78.929695,23.643251,514.00714,102.572945,99.17,2.37,9.99,10.790000000000001
-70.60809,23.652922,519.06854,94.26102,99.16,1.47,6.6000000000000005,7.2
-75.97693,28.67865,525.9622,104.65558,99.11,3.3200000000000003,16.45,17.400000000000002
-81.49457,21.705956,505.5168,103.20052,99.17,1.9100000000000001,7.1000000000000005,7.79
-86.58896,26.503479,512.93787,113.09244,99.16,3.77,14.43,15.450000000000001
-74.86039,27.913649,525.91986,102.77404,99.08,2.92,14.870000000000001,15.77
-71.199646,27.93266,532.7894,99.13231,99.05,2.69,14.55,15.4
-76.571915,26.934942,523.78253,103.50686,99.16,3.5100000000000002,15.44,16.4
-78.17561,25.722439,508.7471,103.898056,99.15,1.6300000000000001,8.14,8.8
-81.154495,23.731836,511.9115,104.88633,99.15,2.45,10.13,10.94
-72.99219,27.994911,530.11163,100.9871,99.10000000000001,3.09,15.59,16.490000000000002
-77.889275,26.478266,514.5354,104.36754,99.16,1.99,10.44,11.19
-73.754425,28.994106,530.9023,102.748535,99.07000000000001,3.47,17.43,18.39
-81.96741,26.252813,517.3887,108.22022,99.15,3.79,14.92,15.93
-85.46237,26.19641,513.2614,111.65878,99.16,3.5700000000000003,13.96,14.950000000000001
-74.79179,21.725698,508.99588,96.51749,99.12,1.48,5.66,6.25
-70.0902,26.489246,532.2743,96.57945,99.04,2.5,12.84,13.65
-83.94971,25.565258,517.56287,109.51497,99.15,4.8,16.330000000000002,17.46
-82.77486,27.959946,517.2458,110.7348,99.16,3.73,15.9,16.92
-84.29112,23.426018,512.9301,107.71714,99.17,3.39,12.1,13.05
-85.97965,24.44772,509.0029,110.42737,99.17,2.81,11.040000000000001,11.91
-81.483986,27.849455,517.4904,109.33344,99.17,3.33,15.08,16.05
-78.86886,26.899065,521.90027,105.76792,99.15,4.0600000000000005,16.38,17.41
-72.73343,22.619625,512.4131,95.35306,99.17,1.42,5.78,6.36
-79.93161,22.561785,509.7766,102.49339,99.16,2.06,8.25,8.99
-83.52236,24.190546,511.1087,107.712906,99.15,2.74,10.98,11.84
-85.69675,24.291758,513.92346,109.9885,99.16,4.05,13.790000000000001,14.83
-82.92814,24.143328,509.61227,107.071465,99.15,2.39,9.99,10.790000000000001
-73.63802,26.190199,523.1271,99.828224,99.16,2.2,11.4,12.17
-70.660675,27.117743,533.2525,97.77842,98.76,2.89,14.52,15.38
-74.46492,26.398413,522.9972,100.863335,99.10000000000001,2.42,12.24,13.06
-73.02554,25.893911,516.52924,98.91946,99.15,1.49,7.8100000000000005,8.44
-74.62341,27.751589,527.7628,102.375,99.08,3.52,16.34,17.29
-86.518105,27.307726,515.76166,113.82583,99.16,4.72,16.96,18.09
-70.73065,23.888084,519.849,94.61874,99.09,1.51,6.98,7.59
-73.60957,26.688065,524.0919,100.29764,99.09,2.2600000000000002,11.97,12.76
-72.07,25.318525,524.31537,97.38853,99.15,2.07,10.370000000000001,11.120000000000001
-73.51058,26.421076,527.3473,99.931656,99.14,3.17,14.5,15.4
-85.05585,27.174812,516.51825,112.23066,99.17,4.5,16.65,17.75
-75.93807,27.835138,525.9882,103.77321,99.14,3.67,16.62,17.6
-71.09018,25.769146,528.4424,96.85933,99.08,2.35,11.78,12.56
-86.17154,25.192532,512.02826,111.364075,99.17,3.5,13.08,14.06
-77.405914,27.305296,521.52203,104.71121,99.17,3.0300000000000002,14.43,15.34
-85.66611,26.442984,513.227,112.10909,99.16,3.59,14.14,15.13
-79.8905,24.648499,514.1589,104.539,99.17,2.5,10.92,11.75
-71.50055,27.7369,532.45,99.23745,99.16,2.92,15.030000000000001,15.91
-71.03812,26.599436,529.86224,97.63755,99.17,2.38,12.46,13.26
-70.79602,27.294062,531.9206,98.09008,99.07000000000001,2.48,13.36,14.18
-79.55798,26.226866,518.59344,105.78485,99.13,3.27,13.99,14.93
-76.17681,24.415182,516.1845,100.591995,99.11,2.06,9.56,10.31
-78.86591,26.5055,520.14496,105.371414,99.15,3.44,14.69,15.65
-81.296135,28.150812,521.1663,109.446945,99.15,4.68,18.39,19.51
-83.90225,27.019558,518.30426,110.921814,99.17,4.87,17.490000000000002,18.62
-70.60834,26.51103,529.8128,97.11937,99.09,2.19,11.74,12.51
-74.77238,29.118801,527.9876,103.891174,99.14,3.06,16.3,17.22
-71.615204,28.602615,531.1979,100.21782,99.11,2.2600000000000002,13.61,14.41
-80.89242,24.668911,518.8653,105.561325,99.15,4.25,15.02,16.07
