V_rest,V_peak,dVdt_max,Amplitude,DPA,APD80,APD50,APD30
-85.63556,28.863565,511.4068,114.49912,96.94,2.2800000000000002,14.200000000000001,15.09
-74.95212,25.94286,518.2895,100.89497,99.17,2.56,12.17,12.870000000000001
-81.176025,19.101086,512.6358,100.277115,66.06,2.54,8.78,9.52
-74.482155,27.451551,526.4505,101.93371,99.17,2.63,14.700000000000001,15.700000000000001
-81.21171,21.397326,513.8426,102.60903,99.17,3.98,11.33,12.26
-83.2862,30.422878,522.0714,113.709076,99.16,5.61,21.64,22.92
-70.25885,27.674559,530.2855,97.93341,58.0,1.96,11.26,11.88
-75.78722,17.581614,514.92236,93.36883,60.95,2.13,6.94,7.66
-88.611855,23.914911,505.2295,112.526764,99.17,2.49,10.290000000000001,11.14
-81.3277,20.244509,515.8338,101.572205,99.17,5.28,14.11,15.06
-79.85604,25.96911,521.4699,105.82515,99.17,4.87,17.38,18.64
-74.851006,25.94115,518.5707,100.79216,99.17,2.16,11.25,12.07
-76.29424,20.407658,511.18375,96.701904,99.16,1.81,7.1000000000000005,7.9
-85.89378,31.643814,519.71344,117.5376,99.17,4.98,21.82,23.21
-79.68699,31.218603,526.57227,110.905594,55.37,2.84,18.61,19.830000000000002
-85.96309,18.036673,514.9887,103.99976,99.17,6.26,13.9,14.92
-79.19632,13.126175,508.55713,92.322495,99.12,2.0300000000000002,5.51,6.140000000000001
-83.1116,31.559177,520.05347,114.67078,99.15,2.8000000000000003,18.2,19.25
-71.402176,27.969437,528.8754,99.37161,99.17,3.1,13.790000000000001,14.52
-77.49705,32.127888,525.8956,109.62494,99.17,2.61,18.89,19.98
-74.469246,24.286394,523.24084,98.75564,37.82,2.13,10.85,11.6
-75.05317,23.043116,519.7097,98.09628,99.17,2.69,10.68,11.44
-87.19762,29.949892,508.71793,117.14751,99.17,2.37,13.61,14.5
-81.254524,31.19234,521.97284,112.44687,99.16,4.7700000000000005,20.22,21.330000000000002
-72.55227,24.368914,526.9938,96.92118,99.11,2.7600000000000002,12.42,13.450000000000001
-81.22565,30.967194,523.10205,112.19284,99.17,5.38,21.82,22.85
-74.94643,28.074627,526.0977,103.02106,56.57,2.16,12.84,13.780000000000001
-77.43901,22.955427,518.47296,100.39444,99.17,4.4,13.41,14.24
-79.18527,23.476877,516.13525,102.66215,39.83,2.24,10.5,11.24
-83.1872,23.366095,507.69693,106.5533,99.17,2.95,10.73,11.57
-81.91227,19.639809,509.81937,101.55208,76.64,2.04,7.390000000000001,8.26
-77.58626,25.58235,511.70663,103.16861,99.17,1.74,8.59,9.35
-78.899605,27.990335,517.93756,106.88994,99.17,3.16,14.72,15.65
-71.689,28.589224,533.81287,100.27823,99.16,3.46,17.22,18.3
-76.798645,32.91025,529.4917,109.70889,99.17,5.3,24.14,25.28
-73.41459,31.533098,531.91455,104.947685,53.02,1.92,15.6,16.37
-78.07994,31.442986,524.6787,109.52293,99.17,4.17,18.3,19.38
-80.47869,27.998875,518.18976,108.47757,99.05,3.47,15.530000000000001,16.48
-74.572205,31.836575,533.0047,106.40878,77.38,2.79,18.39,19.35
-76.10785,28.474848,525.5378,104.582695,43.75,3.18,15.83,16.67
-82.04441,17.283176,513.7229,99.32759,99.17,4.37,11.26,12.26
