V_rest,V_peak,dVdt_max,Amplitude,DPA,APD80,APD50,APD30
-83.8804,31.752474,520.1868,115.63287,99.16,4.73,20.95,22.23
-84.93585,32.388653,522.8275,117.32451,99.17,6.98,27.84,29.45
-92.91259,28.416668,514.33734,121.329254,99.17,6.26,20.39,21.85
-84.776276,27.714792,517.1992,112.491066,99.17,5.26,17.47,18.66
-78.27603,33.390244,530.2522,111.666275,99.16,5.5,25.27,26.54
-87.97443,28.335442,517.60266,116.30987,99.17,5.82,20.2,21.5
-80.47191,31.274471,524.33655,111.74638,99.17,4.6000000000000005,21.56,22.85
-83.58919,32.130947,524.0015,115.72014,99.17,5.79,26.13,27.59
-88.00113,28.606686,519.3651,116.60782,99.16,7.33,22.48,23.86
-88.81358,30.924164,516.8645,119.73775,99.17,6.1000000000000005,21.66,22.900000000000002
-77.30504,26.16421,522.2501,103.469246,99.16,4.33,15.91,16.95
-79.4838,33.157867,527.8578,112.64167,95.48,4.62,23.07,24.29
-91.70873,24.85571,516.21936,116.56444,99.17,8.56,21.35,22.91
-86.484344,29.612312,517.647,116.09666,99.17,5.72,20.75,22.150000000000002
-82.17101,27.224735,520.081,109.39575,99.16,4.76,18.21,19.44
-80.82657,32.676643,527.35065,113.50321,99.15,5.2700000000000005,25.71,27.11
-97.023415,22.813526,512.7367,119.836945,99.16,6.34,15.89,17.25
-83.97122,31.970114,519.332,115.94134,99.12,4.45,20.41,21.53
-90.629234,25.191853,517.0252,115.82109,99.17,7.44,19.740000000000002,21.18
-94.2954,24.032541,513.8569,118.32794,99.17,7.36,17.84,19.13
-95.470085,23.890213,514.9982,119.3603,99.17,6.59,17.580000000000002,18.98
-87.58054,30.759024,521.47473,118.33957,99.17,6.59,25.38,26.96
-97.24088,24.072466,514.5697,121.31335,99.17,7.94,19.53,20.96
-83.53473,29.881428,520.8397,113.41615,99.16,5.3100000000000005,20.88,22.14
-82.52123,25.87878,517.07416,108.40001,99.16,4.68,15.66,16.67
-86.030235,26.809162,519.8795,112.8394,99.16,6.42,21.150000000000002,22.46
-90.81709,27.190002,514.6393,118.007095,99.17,6.72,19.490000000000002,20.88
-86.31572,26.71159,519.17346,113.02731,99.17,6.9,21.46,22.92
-95.28536,26.969248,514.29596,122.25461,99.17,7.72,20.93,22.47
-82.19383,32.013153,526.002,114.206985,99.15,5.69,26.38,27.88
-90.29554,25.459545,517.4201,115.75508,99.17,7.25,20.02,21.38
-96.42884,29.332582,513.53796,125.76142,99.17,7.29,21.64,23.14
-86.97536,32.246815,520.4318,119.22217,99.17,7.140000000000001,26.03,27.36
-94.67858,24.77001,516.1173,119.44859,99.17,8.040000000000001,20.35,21.76
-93.335754,29.314152,514.46075,122.6499,99.17,6.74,21.1,22.57
-92.24154,25.831886,515.89374,118.073425,99.17,6.54,18.57,19.94
-86.683716,27.922665,518.3539,114.606384,99.16,5.3,18.82,20.0
-92.449036,27.379642,517.8475,119.828674,99.17,7.79,22.990000000000002,24.47
-84.02939,25.631285,516.7063,109.660675,98.86,4.24,14.67,15.63
-94.78479,29.3016,517.0244,124.08639,99.16,7.05,23.05,24.46
-84.514595,31.655003,522.0188,116.1696,80.56,4.87,22.490000000000002,23.92
-96.55618,28.145166,516.59204,124.70135,99.17,8.22,23.6,25.32
-86.07945,28.266659,519.9929,114.346115,99.17,6.640000000000001,22.59,24.19
-88.49986,26.28426,515.61395,114.78412,99.17,5.58,17.77,18.94
-93.30918,26.036583,514.1705,119.345764,99.17,7.32,19.69,21.04
-99.839584,23.684895,512.19214,123.524475,99.17,7.5,17.81,19.35
-87.70431,25.592278,519.14624,113.296585,99.16,7.2,21.42,22.96
-83.12532,24.309908,518.084,107.43523,99.16,4.6000000000000005,15.63,16.82
-89.31559,28.837997,518.99493,118.15359,99.13,6.2700000000000005,22.07,23.54
-94.0708,28.639624,517.35785,122.71043,99.17,9.0,25.21,26.94
-85.165634,24.78636,516.4925,109.951996,99.17,5.58,16.75,17.87
-81.905525,25.086346,517.6888,106.99187,99.17,4.5600000000000005,15.63,16.68
-94.268135,29.016191,514.942,123.284325,99.17,7.43,22.6,24.01
-89.12048,24.941677,518.19403,114.062164,99.13,6.62,19.87,21.2
-86.23248,30.854372,521.50964,117.08685,98.58,5.39,23.53,24.990000000000002
-88.699196,24.791864,517.5993,113.49106,99.17,6.94,19.68,21.13
-88.54437,31.283867,520.75037,119.82824,99.14,6.19,24.810000000000002,26.18
-83.54727,31.107101,523.80817,114.65437,99.17,6.17,24.84,26.36
-84.5821,28.251562,520.0365,112.833664,99.15,5.24,19.23,20.46
-80.38839,27.122906,523.37885,107.51129,66.63,4.21,18.16,19.45
-82.87983,29.091558,521.4633,111.97139,76.44,4.5200000000000005,20.01,21.26
-86.53888,30.745275,521.8176,117.28416,99.16,6.01,23.89,25.34
-79.76433,28.439026,524.06274,108.203354,99.16,5.8500000000000005,22.04,23.23
-86.71033,24.346594,516.1397,111.05692,99.17,5.04,15.6,16.81
-97.73612,25.200695,516.01886,122.93681,99.17,8.040000000000001,20.96,22.46
-86.67524,30.457605,520.875,117.13284,95.48,5.76,23.490000000000002,25.0
-82.935555,27.820845,520.0268,110.7564,99.16,4.63,18.6,19.91
-91.55011,26.060093,514.06555,117.6102,99.17,5.93,17.59,18.82
-85.93269,32.72912,522.26166,118.66181,99.17,7.3,27.72,29.3
-83.7178,24.992983,518.6737,108.71078,99.16,5.43,16.8,17.95
-77.4772,25.56296,521.84393,103.04016,99.12,3.58,14.47,15.44
-84.221054,27.605516,520.6667,111.82657,99.17,6.33,20.66,21.900000000000002
-85.2297,26.571295,520.02844,111.800995,85.95,5.58,19.35,20.64
-91.18435,32.95556,519.5737,124.13991,99.17,9.08,29.73,31.55
-80.66916,26.191387,521.39655,106.86055,96.36,4.34,16.53,17.740000000000002
-101.6039,25.689655,513.90137,127.29355,99.17,8.98,21.240000000000002,22.85
-87.435974,31.343475,519.76227,118.77945,99.17,6.5600000000000005,24.810000000000002,26.36
-88.09297,27.723484,517.584,115.81645,99.17,7.03,21.650000000000002,22.96
-79.44499,31.86247,524.8008,111.307465,99.17,3.7,20.67,21.87
-88.259766,27.36378,517.3139,115.62354,99.16,5.82,18.650000000000002,19.79
-84.5752,28.728662,520.52496,113.30386,99.17,6.8,21.91,23.25
-100.038895,26.548014,512.67017,126.58691,99.16,7.09,18.44,19.740000000000002
-83.51452,29.869997,520.2486,113.384514,99.17,5.39,20.76,22.02
-81.2298,29.049187,523.5165,110.278984,82.55,4.23,20.09,21.42
-88.62089,28.716896,518.6518,117.33778,99.16,6.9,22.52,24.11
-88.088936,26.457403,519.4885,114.54634,99.16,6.49,20.740000000000002,22.19
-78.06526,27.785795,524.91187,105.85106,99.15,4.99,19.580000000000002,20.64
-83.739494,32.308723,523.21045,116.04822,99.17,7.49,26.1,27.41
-95.26562,29.530828,514.464,124.79645,99.17,8.15,23.5,25.03
-95.47335,23.303041,515.3832,118.77639,99.17,7.640000000000001,19.16,20.61
-83.10785,31.082449,523.2396,114.1903,91.79,4.88,22.6,23.93
-94.3999,28.421326,514.17236,122.82123,99.17,6.49,20.14,21.45
-84.64472,30.613474,518.3371,115.258194,99.17,4.75,19.86,20.96
-90.9879,24.58454,514.1176,115.57244,99.16,5.65,16.04,17.25
-88.90645,28.720304,516.74274,117.626755,99.17,6.79,21.64,22.93
-85.06633,30.419537,518.99866,115.48587,99.14,4.46,19.04,20.22
-80.4833,24.471144,518.8011,104.954445,99.16,4.0200000000000005,15.13,16.17
-92.09086,29.937326,518.35516,122.02818,99.15,7.97,24.740000000000002,26.25
-82.246315,28.741302,520.17035,110.98762,99.17,5.01,18.59,19.79
-75.1859,31.293047,531.36285,106.47894,99.17,5.79,22.89,24.0
-85.03113,27.657957,519.72266,112.68909,99.17,6.49,20.38,21.580000000000002
-96.018654,25.313643,514.97614,121.3323,99.17,7.38,19.82,21.26
-89.70446,28.06184,517.32684,117.7663,99.16,6.59,21.89,23.26
-81.84558,31.715527,524.24634,113.56111,99.16,5.95,23.73,24.93
-87.71686,29.445377,520.7205,117.16223,99.16,6.48,23.05,24.52
-74.72922,34.46366,539.39355,109.19288,99.17,5.45,26.96,28.400000000000002
-89.07409,29.575003,518.6021,118.64909,99.17,7.76,24.32,25.88
-90.492615,26.128683,517.33417,116.6213,99.17,6.72,19.72,21.150000000000002
-83.76889,24.710245,516.52454,108.47913,99.17,3.86,14.620000000000001,15.68
-82.37743,28.61997,521.42804,110.997406,99.15,5.09,19.900000000000002,21.03
-87.7509,27.170078,515.6494,114.920975,99.14,4.61,16.87,17.98
-76.72543,27.49987,525.11523,104.2253,75.33,3.29,16.11,17.06
-89.99857,28.544662,515.76184,118.543236,99.17,5.0600000000000005,18.42,19.68
-83.87389,29.703878,521.58014,113.577774,98.9,5.1000000000000005,21.77,23.01
-93.43685,30.484798,516.7755,123.921646,99.17,7.76,24.42,25.93
-85.02631,30.397429,518.37256,115.423744,99.17,4.91,20.47,21.59
-80.78471,28.388632,524.4607,109.17335,63.83,4.97,20.44,21.66
-98.831566,29.826057,514.02246,128.65762,99.17,8.67,24.2,25.72
-89.34304,31.933352,520.9632,121.27639,99.17,8.02,29.07,30.87
-87.38129,30.207987,520.78723,117.58927,99.17,6.26,23.17,24.580000000000002
-89.10992,31.93809,521.08215,121.048004,99.17,7.66,28.67,30.45
-96.07185,23.556465,512.1649,119.62832,99.17,7.16,17.26,18.57
-91.64697,30.946432,519.3263,122.59341,99.17,7.46,26.42,28.12
-92.9527,30.039003,517.90546,122.9917,99.17,8.63,25.51,27.02
