dVmax,ADP90,ADP50,Vreps,tdV
0.727571,145,130,-69.7587,5.85955
2.68438,150,138,-80.5232,5.87955
1.03944,154,144,-73.8322,5.89955
1.5862,144,135,-76.732,5.88955
1.31345,129,121,-73.1007,5.84955
3.08455,197,186,-86.8271,5.98955
1.05738,102,89,-73.7352,5.87955
1.56598,74,66,-74.8115,5.85955
2.67387,127,115,-80.0827,5.86955
1.0181,145,135,-72.0948,5.86955
2.2018,194,180,-81.3396,5.91955
0.838171,103,94,-73.2544,5.91955
2.94917,219,207,-85.6619,5.96955
2.13931,162,153,-77.1443,5.84955
0.840181,129,117,-71.2848,5.86955
1.28085,88,77,-72.6772,5.83955
0.770119,162,154,-69.9945,5.87955
1.20081,122,113,-73.4302,5.86955
2.4241,91,83,-80.2371,5.89955
0.768021,138,123,-70.3055,5.85955
2.50539,94,86,-82.2696,5.93955
1.6151,175,165,-77.968,5.90955
1.31301,149,141,-75.17,5.88955
1.11116,197,189,-72.619,5.85955
2.4094,200,191,-77.7608,5.84955
1.78872,154,140,-81.9638,5.96955
1.17163,133,119,-73.9916,5.86955
2.07175,140,127,-79.8221,5.89955
1.60356,104,95,-75.5684,5.86955
0.761354,105,99,-71.2166,5.91955
1.35623,110,99,-77.586,5.92955
1.57946,127,113,-74.5101,5.82955
2.10282,123,111,-77.5027,5.85955
0.958347,102,93,-74.8293,5.93955
1.24499,115,105,-76.3649,5.91955
1.86948,131,120,-76.8252,5.85955
1.9233,144,133,-80.8163,5.93955
1.63549,134,124,-81.709,5.98955
2.73208,169,160,-80.9117,5.89955
0.84428,163,155,-72.8851,5.91955
2.66863,184,169,-87.2754,5.99955
4.23101,219,199,-84.9344,5.87955
3.37547,79,69,-83.5394,5.90955
1.2541,223,210,-72.9196,5.83955
1.88574,115,106,-77.7768,5.88955
2.93417,181,171,-83.044,5.91955
0.712015,154,145,-71.3976,5.90955
2.59206,90,79,-80.2614,5.87955
2.37554,120,111,-82.7401,5.95955
1.8498,204,194,-78.5317,5.89955
1.59262,57,49,-75.5114,5.86955
2.93767,145,134,-83.7891,5.92955
2.47125,99,90,-78.8732,5.86955
4.02307,182,171,-85.4734,5.91955
0.877937,145,133,-72.2326,5.87955
1.70041,81,71,-77.6858,5.89955
0.792944,65,57,-71.0411,5.87955
2.30546,177,164,-78.8877,5.85955
2.07049,162,152,-76.4275,5.83955
0.989641,168,156,-71.5896,5.84955
3.82996,195,179,-84.4215,5.89955
1.99661,191,179,-82.3854,5.96955
1.40387,178,164,-73.2639,5.82955
1.0219,135,123,-74.9239,5.90955
1.0542,153,140,-76.0152,5.92955
1.32937,169,159,-73.2062,5.83955
2.78689,103,90,-83.8602,5.93955
0.764105,173,165,-72.1434,5.91955
2.94486,149,136,-80.502,5.85955
0.836237,108,97,-70.1249,5.84955
1.60993,87,78,-79.5293,5.94955
3.18426,148,138,-84.3155,5.93955
2.98453,182,164,-83.0681,5.89955
2.78391,66,56,-81.9538,5.90955
3.58971,207,195,-85.1526,5.92955
1.09706,197,180,-75.5945,5.90955
1.44485,188,176,-75.1482,5.85955
2.61256,98,83,-85.6795,5.97955
1.58193,217,206,-77.2309,5.89955
0.781656,177,164,-72.6081,5.90955
1.02054,208,196,-73.2277,5.87955
3.75272,169,155,-87.5753,5.96955
2.75311,179,167,-84.2341,5.94955
2.30524,93,81,-86.7523,5.99955
1.24731,67,56,-76.8453,5.92955
2.26771,165,153,-83.0891,5.95955
1.43122,158,147,-75.8646,5.87955
1.30649,148,139,-74.1335,5.86955
4.02874,167,150,-87.3544,5.94955
0.809988,131,121,-70.8786,5.87955
3.10791,164,153,-82.3212,5.89955
1.1651,142,134,-72.8999,5.85955
1.83819,115,107,-75.0346,5.83955
2.48764,154,144,-83.2212,5.94955
3.69926,170,157,-85.3459,5.91955
1.14766,158,145,-76.4256,5.91955
1.55356,143,133,-75.9344,5.86955
1.90512,163,152,-77.5216,5.86955
1.57269,148,134,-76.3415,5.86955
1.26311,103,95,-76.0367,5.91955
