dVmax,ADP90,ADP50,Vreps,tdV
3.33633,200,182,-87.7832,5.97955
3.30144,245,227,-87.1586,5.96955
4.43242,199,183,-87.5585,5.93955
3.47005,263,244,-87.5586,5.96955
3.47018,246,231,-87.1486,5.96955
3.95879,227,214,-87.2238,5.94955
4.63295,178,163,-87.4542,5.92955
4.2599,229,211,-87.6916,5.93955
3.3508,211,186,-87.9105,5.97955
2.61495,238,224,-87.6068,5.99955
4.35279,187,168,-88.3148,5.93955
3.62063,207,193,-87.3254,5.95955
3.39268,229,210,-87.7561,5.97955
3.05875,223,203,-87.5869,5.98955
3.86491,230,216,-87.1069,5.95955
2.95121,201,186,-87.7028,5.99955
4.45449,238,215,-87.694,5.92955
3.16247,147,135,-87.4236,5.98955
3.67285,212,193,-87.9193,5.95955
4.65959,207,192,-87.4015,5.91955
4.50041,201,187,-87.4782,5.92955
3.78275,269,248,-87.4926,5.94955
2.95186,200,187,-87.219,5.99955
3.3587,240,224,-87.5866,5.97955
3.02373,173,161,-87.4739,5.99955
3.67673,165,150,-87.3894,5.95955
3.485,219,203,-87.6756,5.96955
4.41741,173,161,-87.3221,5.93955
3.90105,247,228,-87.571,5.94955
3.25038,197,185,-87.3605,5.98955
4.14167,289,270,-87.3074,5.93955
3.42027,191,179,-87.1849,5.97955
2.69714,236,217,-87.5572,5.99955
4.19762,241,226,-87.6883,5.94955
3.97549,244,225,-88.017,5.94955
4.33692,144,130,-87.5384,5.93955
4.64083,242,230,-87.0124,5.91955
3.18055,165,149,-87.8468,5.98955
2.88637,219,205,-87.4755,5.99955
4.45942,265,250,-87.3823,5.92955
4.91377,251,231,-87.8898,5.91955
4.18624,139,126,-87.6247,5.94955
3.60194,233,216,-87.7185,5.96955
2.56597,245,231,-87.346,5.99955
3.92348,243,228,-87.2096,5.94955
5.06891,273,253,-87.6802,5.90955
4.52458,193,180,-87.1221,5.92955
4.41493,220,199,-87.9934,5.93955
3.13545,205,192,-87.4723,5.98955
3.79046,207,192,-87.6185,5.95955
3.0782,209,195,-87.1549,5.98955
4.28309,224,206,-87.7091,5.93955
4.70968,224,210,-87.1446,5.91955
3.94897,230,209,-88.0879,5.95955
4.74918,174,161,-87.3083,5.92955
2.97574,228,208,-87.9847,5.99955
4.96994,201,186,-87.4461,5.91955
4.92782,227,208,-87.7987,5.91955
3.58308,254,241,-87.2163,5.96955
4.60137,225,207,-87.5789,5.91955
4.77309,218,204,-87.3893,5.91955
3.35234,171,159,-87.3905,5.97955
4.26014,152,139,-87.2742,5.93955
3.68822,242,229,-87.2453,5.95955
2.53721,201,182,-88.0409,5.99955
3.13,243,231,-87.2703,5.98955
4.96593,282,269,-87.141,5.91955
3.97294,259,239,-87.7994,5.94955
