dVmax,ADP90,ADP50,Vreps,tdV
2.14149,168,155,-80.1352,5.89955
2.10286,163,151,-79.6012,5.89955
2.1856,166,154,-79.8371,5.89955
2.97586,190,177,-82.4198,5.89955
1.53639,150,139,-76.51,5.88955
0.75466,153,143,-70.3428,5.86955
0.78956,97,88,-70.9843,5.88955
2.43703,174,161,-80.8309,5.89955
1.97361,113,104,-77.784,5.87955
2.70188,189,175,-82.9058,5.91955
1.54178,163,151,-76.3,5.87955
0.910868,167,157,-71.9574,5.86955
0.951178,169,159,-72.0372,5.86955
2.35604,182,170,-80.11,5.88955
1.5242,170,159,-75.4387,5.86955
0.876808,123,114,-71.6038,5.87955
0.709364,94,86,-69.9643,5.88955
1.54249,159,148,-75.6563,5.86955
1.98769,131,120,-78.2349,5.87955
2.40369,172,159,-80.7308,5.89955
3.6664,155,143,-86.1333,5.94955
1.29841,171,160,-74.772,5.86955
0.948248,167,157,-72.173,5.86955
3.25077,199,186,-83.5156,5.90955
2.01467,98,89,-78.9746,5.89955
0.959757,119,111,-72.0851,5.87955
2.93522,180,167,-82.858,5.90955
0.813051,134,125,-71.1824,5.87955
0.794632,138,128,-71.1011,5.87955
0.832251,145,135,-70.9963,5.86955
1.33821,167,155,-75.5749,5.88955
2.46003,166,154,-80.5779,5.88955
1.50897,170,159,-75.7955,5.86955
0.723227,104,95,-70.2348,5.88955
3.18128,155,143,-83.8759,5.91955
2.11521,160,148,-80.0119,5.89955
3.28956,156,143,-85.7484,5.94955
2.51411,162,150,-81.3276,5.89955
1.1934,164,152,-74.5693,5.87955
2.56054,195,182,-80.9748,5.88955
3.53443,188,174,-86.146,5.94955
0.939112,157,148,-72.0459,5.86955
2.84359,176,163,-83.2786,5.91955
1.029,120,110,-73.4862,5.88955
1.78221,182,170,-76.5971,5.85955
2.07738,179,167,-78.7359,5.87955
2.29144,134,122,-80.9897,5.90955
2.90624,149,137,-84.1714,5.93955
2.39972,193,181,-79.9311,5.87955
1.65826,118,108,-77.1772,5.88955
1.81504,182,170,-76.9605,5.86955
3.38668,196,182,-84.5159,5.91955
1.78844,179,167,-77.3855,5.87955
1.15326,115,106,-73.4551,5.87955
0.824366,168,158,-70.9363,5.86955
1.22129,104,96,-74.2462,5.87955
0.644623,127,117,-68.8664,5.87955
3.31304,201,187,-84.9041,5.92955
2.19026,117,108,-78.7248,5.87955
2.13427,177,165,-79.1206,5.87955
1.35643,124,113,-75.7268,5.88955
0.811771,107,98,-71.4486,5.88955
1.28214,126,116,-74.9566,5.88955
3.47401,208,194,-84.9643,5.91955
2.43149,178,166,-80.0383,5.87955
0.937996,176,166,-71.8104,5.86955
2.44773,176,163,-80.7753,5.89955
2.38634,93,84,-80.1532,5.89955
1.22568,184,174,-73.7349,5.85955
2.6031,169,157,-80.8323,5.88955
1.12311,173,163,-73.4297,5.86955
0.763849,139,130,-70.717,5.87955
1.82935,95,86,-78.4392,5.89955
0.857979,139,129,-71.5558,5.87955
1.71679,153,142,-77.0161,5.87955
2.28367,133,122,-79.8667,5.88955
1.58622,182,170,-75.9505,5.86955
2.17602,137,126,-79.2145,5.88955
3.10022,155,142,-85.7104,5.95955
2.71204,124,114,-82.1265,5.91955
1.01141,162,152,-72.6347,5.86955
0.781067,127,118,-70.8808,5.87955
1.49912,169,157,-76.5189,5.88955
1.10377,176,166,-73.2862,5.86955
2.82575,200,187,-81.8767,5.88955
1.79831,187,175,-77.2611,5.86955
1.51111,155,143,-76.6332,5.88955
1.03853,173,162,-72.9469,5.86955
2.31916,159,147,-80.4838,5.89955
1.30676,116,107,-74.7401,5.87955
0.901403,87,79,-72.3229,5.88955
1.87665,164,153,-77.7159,5.87955
3.12898,190,177,-83.2185,5.90955
2.81522,171,159,-82.6623,5.90955
3.23696,167,154,-85.3786,5.94955
2.49537,179,167,-80.8415,5.88955
2.03909,154,143,-78.006,5.86955
1.11021,158,147,-73.5269,5.87955
2.5559,201,188,-80.1445,5.87955
3.28642,204,190,-84.4342,5.91955
2.55216,176,164,-80.8112,5.88955
1.34881,135,125,-75.0713,5.87955
0.904814,162,152,-72.0485,5.87955
2.75175,158,147,-81.7289,5.89955
1.18245,121,113,-73.5255,5.86955
3.09858,143,131,-83.4691,5.91955
2.60767,189,176,-80.404,5.87955
2.29644,158,147,-79.4174,5.87955
2.94149,118,108,-82.647,5.91955
3.44474,159,146,-85.3497,5.93955
3.87237,114,103,-88.0289,5.97955
0.877342,105,96,-72.1197,5.88955
1.39235,115,105,-75.6057,5.88955
2.47859,177,163,-81.5927,5.90955
2.44689,173,162,-79.6165,5.87955
0.894499,159,149,-71.5697,5.86955
1.6343,83,74,-77.2406,5.89955
2.30023,185,173,-79.071,5.86955
0.92354,143,134,-71.8326,5.86955
1.04575,124,115,-72.622,5.86955
3.21049,173,160,-83.6635,5.90955
1.23219,137,126,-74.877,5.88955
0.81838,118,108,-71.4368,5.88955
0.910269,139,129,-72.2143,5.87955
2.78286,196,183,-81.6973,5.88955
1.92308,162,151,-77.7672,5.87955
0.671663,118,109,-69.3986,5.87955
1.33319,158,148,-74.6698,5.86955
2.6213,176,163,-82.2316,5.90955
3.03229,107,96,-84.316,5.94955
0.949553,99,91,-72.2153,5.87955
2.31269,131,120,-79.8553,5.88955
0.674929,138,129,-69.3869,5.87955
2.6224,129,117,-82.49,5.92955
3.46537,208,193,-85.0477,5.91955
3.51074,159,146,-86.8464,5.95955
0.741268,150,140,-70.4638,5.87955
0.838554,106,97,-71.3911,5.87955
3.46462,198,184,-85.0216,5.92955
1.54825,102,94,-76.0112,5.87955
0.783291,144,134,-70.8852,5.87955
3.46496,186,171,-86.3962,5.94955
1.30289,175,164,-74.8099,5.86955
1.37352,76,68,-75.7668,5.89955
1.0181,99,91,-72.4473,5.87955
3.02507,122,112,-83.0953,5.91955
2.25786,171,160,-79.0053,5.87955
3.63232,125,114,-87.4698,5.97955
0.866564,132,122,-72.0142,5.88955
2.49315,182,170,-80.6569,5.88955
1.67096,120,111,-76.4115,5.87955
1.04779,159,149,-73.0842,5.87955
2.1167,172,160,-79.7304,5.89955
3.14982,210,196,-82.9765,5.89955
2.71599,142,129,-83.2485,5.92955
2.08679,95,86,-78.4682,5.88955
0.922737,116,106,-72.5642,5.88955
1.64411,170,159,-76.9039,5.87955
2.71155,193,180,-81.8909,5.89955
2.54969,152,141,-80.3828,5.88955
0.85297,161,150,-71.6759,5.87955
2.53835,156,144,-81.7161,5.90955
2.99128,157,145,-82.5914,5.90955
2.42124,93,83,-81.3,5.91955
2.44274,110,101,-79.7636,5.88955
1.70831,114,104,-77.7217,5.89955
2.28882,95,86,-80.439,5.90955
1.47738,176,165,-75.537,5.86955
0.866695,119,111,-71.4078,5.87955
2.48658,182,169,-81.6613,5.90955
3.46102,160,147,-86.8506,5.96955
2.95319,204,191,-82.4221,5.89955
2.41642,199,187,-79.5032,5.86955
2.45315,138,127,-80.2539,5.88955
0.850668,155,145,-71.2911,5.86955
1.28984,144,134,-75.107,5.87955
3.12666,130,118,-86.0788,5.96955
0.964052,145,136,-71.9046,5.86955
0.753918,145,136,-70.412,5.87955
3.07435,152,140,-84.5669,5.93955
1.74405,153,143,-76.4858,5.86955
1.07184,159,148,-73.6803,5.87955
2.04489,159,148,-77.9044,5.86955
2.04255,171,160,-78.5243,5.87955
3.53566,107,96,-86.508,5.96955
1.35495,173,162,-74.5786,5.86955
3.53715,110,100,-86.6185,5.96955
1.00976,144,134,-72.9777,5.87955
